,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
286,Kelly Olynyk,UTA,52,24,28,28.2,53.3,2.9,1.0,1.5,64.9,0.4,0.5,79.2,2.3,80.0,0.9,31.3,0.3,8.7,0.2,6.0,0.2,7.3
287,Kelly Oubre Jr.,CHA,40,13,27,32.3,45.3,2.3,0.7,1.5,48.3,0.4,0.5,75.0,1.8,81.1,0.4,16.7,0.0,1.1,0.1,5.6,0.3,11.1
288,Kemba Walker,DAL,9,5,4,16.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Kendall Brown,IND,6,1,5,6.7,6.7,0.3,0.2,0.2,100.0,0.0,0.0,0.0,0.3,100.0,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Kendrick Nunn,WAS,54,27,27,14.3,19.9,0.4,0.2,0.3,72.2,0.0,0.0,0.0,0.5,108.3,0.1,12.5,0.0,8.3,0.0,8.3,0.0,0.0
291,Kennedy Chandler,MEM,27,17,10,8.5,18.1,0.5,0.2,0.3,55.6,0.0,0.1,50.0,0.4,78.6,0.1,21.4,0.0,7.1,0.0,7.1,0.0,7.1
292,Kenneth Lofton Jr.,MEM,11,7,4,3.5,6.3,0.5,0.5,0.5,100.0,0.0,0.0,0.0,0.9,166.7,0.0,0.0,0.0,0.0,0.1,16.7,0.0,0.0
293,Kenrich Williams,OKC,53,26,27,22.8,31.2,3.5,1.4,2.0,67.9,0.1,0.3,35.7,2.8,81.1,1.2,35.7,0.2,5.9,0.1,1.6,0.1,3.8
294,Kentavious Caldwell-Pope,DEN,61,44,17,31.4,39.0,1.1,0.3,0.7,51.2,0.1,0.1,62.5,0.8,70.6,0.3,23.5,0.1,5.9,0.1,7.4,0.1,5.9
295,Kenyon Martin Jr.,HOU,62,13,49,26.7,35.7,3.9,1.8,2.6,67.9,0.4,0.5,64.7,4.0,103.3,0.7,16.9,0.1,2.9,0.2,6.2,0.3,7.0
296,Keon Ellis,SAC,9,4,5,4.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Keon Johnson,POR,33,13,20,9.6,18.5,0.5,0.1,0.2,28.6,0.0,0.1,50.0,0.2,33.3,0.1,26.7,0.0,6.7,0.0,6.7,0.0,6.7
298,Kessler Edwards,SAC,16,6,10,5.9,7.8,0.6,0.1,0.3,40.0,0.1,0.1,50.0,0.3,55.6,0.1,11.1,0.0,0.0,0.1,22.2,0.1,11.1
299,Kevin Durant,PHX,41,28,13,35.6,67.0,1.2,0.6,0.8,83.9,0.2,0.2,87.5,1.5,121.6,0.2,17.6,0.0,3.9,0.1,7.8,0.1,7.8
300,Kevin Huerter,SAC,59,34,25,30.0,44.5,1.6,0.8,1.0,79.3,0.1,0.2,70.0,1.7,105.3,0.4,26.6,0.1,3.2,0.1,5.3,0.1,4.3
301,Kevin Knox II,POR,48,10,38,12.9,16.8,0.7,0.3,0.3,81.3,0.0,0.1,66.7,0.6,87.5,0.2,34.4,0.0,0.0,0.0,3.1,0.0,6.3
302,Kevin Love,MIA,46,25,21,20.4,37.9,1.7,0.4,0.8,52.6,0.2,0.3,91.7,1.2,67.1,0.6,34.2,0.1,3.8,0.1,3.8,0.1,6.3
303,Kevin Porter Jr.,HOU,41,10,31,33.8,79.1,1.9,0.6,0.8,78.8,0.0,0.0,100.0,1.3,72.4,0.7,36.8,0.1,3.9,0.2,10.5,0.0,1.3
304,Kevon Harris,ORL,27,10,17,12.4,10.9,1.0,0.4,0.6,58.8,0.2,0.2,100.0,1.0,100.0,0.2,21.4,0.0,3.6,0.0,3.6,0.1,10.7
305,Kevon Looney,GSW,63,33,30,23.5,42.1,5.7,2.0,2.8,69.8,0.5,0.8,68.8,4.6,79.7,2.2,38.6,0.4,7.2,0.1,2.2,0.4,6.7
306,Khem Birch,SAS,20,9,11,8.1,10.4,1.6,0.5,0.9,58.8,0.2,0.2,75.0,1.2,74.2,0.5,29.0,0.1,3.2,0.1,6.5,0.1,3.2
307,Khris Middleton,MIL,20,17,3,21.5,44.2,1.2,0.5,0.7,71.4,0.1,0.1,100.0,1.1,95.7,0.4,30.4,0.1,4.3,0.1,4.3,0.1,4.3
308,Killian Hayes,DET,58,14,44,27.0,59.4,0.5,0.1,0.2,30.8,0.1,0.1,75.0,0.2,40.7,0.2,44.4,0.1,14.8,0.0,0.0,0.0,7.4
309,Kira Lewis Jr.,NOP,17,7,10,10.6,23.6,0.2,0.1,0.1,100.0,0.1,0.1,50.0,0.3,125.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Klay Thompson,GSW,51,28,23,32.9,48.4,1.6,0.5,0.9,54.2,0.4,0.4,86.4,1.4,87.8,0.4,22.0,0.1,3.7,0.1,4.9,0.2,12.2
311,Kris Dunn,UTA,4,2,2,22.3,59.8,0.5,0.3,0.3,100.0,0.5,0.5,100.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0
312,Kristaps Porzingis,WAS,52,23,29,32.7,59.8,4.8,1.9,2.8,68.2,1.2,1.3,87.0,5.2,109.3,0.8,16.1,0.1,1.2,0.2,4.0,0.6,12.9
313,Kyle Anderson,MIN,52,27,25,26.4,48.2,1.9,0.4,0.8,50.0,0.2,0.3,64.3,1.0,54.1,0.8,42.9,0.2,12.2,0.1,4.1,0.1,6.1
314,Kyle Kuzma,WAS,57,28,29,35.1,60.7,1.9,0.9,1.4,64.6,0.1,0.2,60.0,2.0,107.4,0.2,13.0,0.1,2.8,0.1,4.6,0.1,4.6
315,Kyle Lowry,MIA,44,22,22,33.3,74.3,1.0,0.2,0.4,50.0,0.0,0.0,0.0,0.4,39.5,0.5,46.5,0.2,16.3,0.0,4.7,0.0,0.0
316,Kyrie Irving,DAL,48,28,20,37.0,76.0,1.6,0.7,1.0,68.1,0.1,0.1,100.0,1.4,88.5,0.5,30.8,0.2,10.3,0.0,2.6,0.0,1.3
317,LaMelo Ball,CHA,36,13,23,35.2,90.2,1.4,0.5,0.9,56.3,0.0,0.0,0.0,1.0,72.5,0.5,37.3,0.1,7.8,0.0,0.0,0.0,0.0
318,Lamar Stevens,CLE,45,27,18,17.4,20.0,1.1,0.3,0.6,57.7,0.1,0.2,50.0,0.8,75.0,0.3,25.0,0.1,8.3,0.1,6.3,0.1,10.4
319,Landry Shamet,PHX,30,14,16,21.4,38.3,0.4,0.2,0.2,100.0,0.1,0.1,100.0,0.4,109.1,0.1,18.2,0.0,0.0,0.1,18.2,0.0,9.1
320,Larry Nance Jr.,NOP,50,24,26,22.3,31.5,4.8,2.0,2.9,68.5,0.5,0.6,78.1,4.5,92.9,1.3,26.1,0.2,5.0,0.2,4.1,0.3,6.2
321,Lauri Markkanen,UTA,58,29,29,34.3,51.1,4.2,2.1,3.0,69.9,0.8,0.8,91.7,5.1,120.6,0.5,12.3,0.0,0.8,0.2,3.7,0.4,9.1
322,LeBron James,LAL,47,24,23,36.1,79.6,3.8,1.9,2.7,70.9,0.3,0.3,87.5,4.2,112.4,0.4,11.9,0.0,1.1,0.1,4.0,0.1,3.4
323,Leandro Bolmaro,UTA,14,8,6,4.9,8.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,80.0,0.1,20.0,0.0,0.0,0.0,0.0
324,Lindy Waters III,OKC,26,11,15,11.4,13.7,0.2,0.1,0.1,100.0,0.0,0.0,0.0,0.2,80.0,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Lonnie Walker IV,LAL,47,20,27,25.6,27.7,0.7,0.3,0.5,60.9,0.0,0.0,100.0,0.6,90.3,0.0,6.5,0.0,3.2,0.1,12.9,0.0,3.2
326,Luguentz Dort,OKC,56,26,30,30.2,37.3,2.2,0.6,1.2,50.0,0.3,0.4,75.0,1.5,66.1,0.7,29.8,0.2,8.1,0.1,6.5,0.1,6.5
327,Luka Doncic,DAL,54,30,24,36.5,91.3,1.1,0.5,0.6,75.8,0.2,0.3,72.2,1.2,110.3,0.2,19.0,0.0,3.4,0.0,3.4,0.2,15.5
328,Luka Garza,MIN,23,13,10,9.1,15.9,2.5,1.0,1.6,63.9,0.9,1.1,80.0,3.0,119.3,0.3,10.5,0.1,5.3,0.0,1.8,0.5,21.1
329,Luke Kennard,MEM,41,24,17,20.8,25.1,0.3,0.1,0.1,50.0,0.0,0.0,0.0,0.1,54.5,0.0,18.2,0.0,0.0,0.0,18.2,0.0,0.0
330,Luke Kornet,BOS,54,35,19,11.4,12.2,3.0,1.4,1.9,75.5,0.2,0.3,85.7,3.1,105.6,0.8,25.5,0.1,5.0,0.1,5.0,0.1,4.3
331,Malachi Flynn,TOR,43,21,22,13.7,27.8,0.2,0.0,0.1,66.7,0.0,0.0,0.0,0.1,44.4,0.1,66.7,0.0,11.1,0.0,0.0,0.0,0.0
332,Malaki Branham,SAS,48,10,38,22.5,34.8,0.4,0.2,0.3,75.0,0.0,0.0,100.0,0.4,105.3,0.1,26.3,0.0,5.3,0.0,0.0,0.0,5.3
333,Malcolm Brogdon,BOS,54,38,16,25.4,52.6,0.8,0.2,0.3,70.6,0.1,0.1,100.0,0.6,83.3,0.3,42.9,0.1,9.5,0.0,4.8,0.1,9.5
334,Malcolm Hill,CHI,4,3,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Malik Beasley,LAL,63,32,31,26.7,36.2,0.4,0.1,0.3,50.0,0.0,0.0,100.0,0.3,78.3,0.1,21.7,0.0,0.0,0.0,0.0,0.0,4.3
336,Malik Monk,SAC,59,36,23,22.7,40.9,1.0,0.4,0.6,65.8,0.0,0.0,100.0,0.9,88.3,0.2,18.3,0.0,3.3,0.1,6.7,0.0,1.7
337,Mamadi Diakite,CLE,16,12,4,6.2,8.3,0.4,0.1,0.1,100.0,0.0,0.0,0.0,0.3,57.1,0.3,57.1,0.0,0.0,0.1,14.3,0.0,0.0
338,MarJon Beauchamp,MIL,41,28,13,14.0,14.9,1.0,0.2,0.5,40.0,0.0,0.0,50.0,0.4,46.2,0.3,35.9,0.1,7.7,0.0,5.1,0.0,2.6
339,Marcus Morris Sr.,LAC,56,29,27,28.5,39.0,0.6,0.2,0.3,68.4,0.1,0.1,100.0,0.6,100.0,0.1,18.8,0.0,3.1,0.0,6.3,0.0,6.3
340,Marcus Smart,BOS,47,34,13,32.4,61.6,1.2,0.3,0.5,56.0,0.0,0.1,50.0,0.7,56.1,0.5,40.4,0.1,12.3,0.1,8.8,0.0,3.5
341,Mark Williams,CHA,34,13,21,17.4,19.4,5.5,2.6,3.9,68.2,0.9,1.2,71.4,6.3,115.6,0.5,9.7,0.1,2.2,0.3,4.8,0.6,11.3
342,Markelle Fultz,ORL,43,22,21,29.4,66.7,2.0,0.8,1.2,62.3,0.0,0.0,100.0,1.6,79.3,0.7,33.3,0.1,5.7,0.0,2.3,0.0,1.1
343,Markieff Morris,DAL,29,16,13,10.3,14.4,0.6,0.2,0.3,55.6,0.1,0.1,100.0,0.4,66.7,0.2,38.9,0.0,5.6,0.0,5.6,0.0,5.6
344,Marko Simonovic,CHI,2,0,2,1.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Marvin Bagley III,DET,28,6,22,21.5,32.6,4.4,2.2,3.1,70.1,0.5,0.6,72.2,4.9,109.7,0.7,15.3,0.0,0.8,0.2,4.0,0.3,7.3
346,Mason Plumlee,LAC,63,17,46,27.8,44.4,7.6,2.6,3.8,69.7,1.2,1.8,67.0,6.7,88.1,2.3,30.0,0.5,6.3,0.3,4.6,0.8,11.1
347,Matisse Thybulle,POR,56,34,22,14.4,12.7,1.1,0.3,0.6,50.0,0.0,0.0,50.0,0.7,62.3,0.4,34.4,0.1,6.6,0.1,4.9,0.0,1.6
348,Matt Ryan,MIN,32,14,18,9.5,11.1,0.2,0.1,0.1,75.0,0.0,0.0,0.0,0.2,120.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Matthew Dellavedova,SAC,26,15,11,6.2,14.4,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,66.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0
350,Max Christie,LAL,37,15,22,13.7,13.3,0.4,0.1,0.2,33.3,0.0,0.0,0.0,0.1,26.7,0.2,53.3,0.1,13.3,0.0,6.7,0.0,0.0
351,Max Strus,MIA,62,31,31,29.7,47.2,1.3,0.6,0.7,76.1,0.1,0.1,100.0,1.3,97.6,0.4,31.7,0.0,2.4,0.1,4.9,0.0,3.7
352,Maxi Kleber,DAL,24,14,10,25.3,31.2,2.2,0.9,1.2,72.4,0.2,0.3,83.3,2.0,88.7,0.8,34.0,0.2,7.5,0.1,3.8,0.1,3.8
353,McKinley Wright IV,DAL,20,11,9,10.3,18.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0
354,Meyers Leonard,MIL,4,4,0,6.7,8.0,0.5,0.0,0.0,0.0,0.5,0.5,100.0,0.5,100.0,0.3,50.0,0.0,0.0,0.0,0.0,0.3,50.0
355,Mfiondu Kabengele,BOS,2,1,1,7.0,7.0,2.5,0.5,0.5,100.0,0.0,0.0,0.0,1.0,40.0,1.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Micah Potter,UTA,3,2,1,4.8,8.3,0.7,0.7,0.7,100.0,0.0,0.0,0.0,1.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,Michael Foster Jr.,PHI,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Michael Porter Jr.,DEN,47,34,13,29.2,37.1,2.1,1.0,1.4,70.8,0.3,0.3,81.3,2.2,106.1,0.3,16.2,0.0,0.0,0.1,5.1,0.1,7.1
359,Mikal Bridges,BKN,64,32,32,36.1,50.7,1.9,0.7,1.2,58.2,0.1,0.2,90.0,1.6,85.1,0.5,24.8,0.1,6.6,0.0,2.5,0.1,4.1
360,Mike Conley,MIN,50,25,25,29.8,68.8,0.4,0.1,0.1,66.7,0.0,0.0,0.0,0.2,42.1,0.2,57.9,0.0,10.5,0.0,10.5,0.0,0.0
361,Mike Muscala,BOS,49,23,26,14.8,27.8,1.4,0.4,0.7,60.6,0.2,0.3,75.0,1.1,74.6,0.5,32.4,0.1,8.5,0.1,4.2,0.2,11.3
362,Miles McBride,NYK,50,29,21,12.0,18.8,0.3,0.1,0.1,71.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,0.0,0.0,6.3,0.0,0.0
363,Mitchell Robinson,NYK,43,26,17,27.2,26.8,7.6,3.2,4.5,71.4,0.7,1.5,43.9,7.1,93.0,1.6,21.4,0.3,4.6,0.3,4.3,0.8,10.1
364,Mo Bamba,LAL,46,22,24,16.5,26.1,2.7,1.2,1.8,66.7,0.3,0.6,61.5,2.9,106.4,0.4,14.4,0.1,2.4,0.1,4.0,0.3,9.6
365,Monte Morris,WAS,51,25,26,28.1,59.5,0.3,0.0,0.1,33.3,0.1,0.1,75.0,0.1,40.0,0.2,66.7,0.0,13.3,0.0,0.0,0.0,13.3
366,Montrezl Harrell,PHI,51,32,19,12.3,17.1,3.4,1.3,2.0,63.5,0.5,0.9,59.6,3.2,94.2,0.5,15.7,0.0,1.2,0.2,5.8,0.4,12.8
367,Moritz Wagner,ORL,43,21,22,20.6,38.2,3.7,1.4,2.2,63.8,0.8,0.8,91.7,3.7,100.0,0.9,23.1,0.1,3.1,0.1,3.8,0.4,10.6
368,Moses Brown,LAC,34,16,18,8.5,11.6,3.4,1.6,2.5,63.5,0.4,1.1,40.5,3.7,107.7,0.1,1.7,0.0,0.0,0.2,5.1,0.5,14.5
369,Moses Moody,GSW,49,26,23,13.3,14.8,0.7,0.2,0.3,68.8,0.1,0.1,75.0,0.5,78.8,0.2,30.3,0.0,3.0,0.1,9.1,0.0,6.1
370,Moussa Diabate,LAC,18,8,10,9.5,8.1,2.2,0.8,1.6,51.7,0.1,0.1,50.0,1.8,82.5,0.3,15.0,0.1,2.5,0.2,7.5,0.1,2.5
371,Myles Turner,IND,54,25,29,30.0,43.7,6.6,2.9,4.3,66.7,1.2,1.5,81.7,7.2,109.6,0.9,13.0,0.1,1.1,0.3,5.1,0.7,11.0
372,Naji Marshall,NOP,59,29,30,24.7,40.6,1.0,0.3,0.6,52.8,0.1,0.1,83.3,0.7,77.2,0.3,28.1,0.1,7.0,0.0,0.0,0.1,5.3
373,Nassir Little,POR,42,20,22,17.2,20.6,0.7,0.2,0.3,53.8,0.1,0.1,75.0,0.4,60.0,0.2,30.0,0.0,6.7,0.1,10.0,0.0,6.7
374,Nathan Knight,MIN,34,16,18,8.1,11.6,1.1,0.4,0.6,54.5,0.2,0.4,57.1,1.0,86.8,0.2,21.1,0.1,7.9,0.0,2.6,0.2,18.4
375,Naz Reid,MIN,57,27,30,18.1,35.7,2.6,1.2,1.7,69.4,0.2,0.2,71.4,2.6,100.0,0.6,23.5,0.1,4.7,0.1,4.0,0.1,4.7
376,Neemias Queta,SAC,4,1,3,6.1,7.8,2.0,1.3,1.8,71.4,0.0,0.0,0.0,2.5,125.0,0.0,0.0,0.0,0.0,0.3,12.5,0.0,0.0
377,Nerlens Noel,DET,14,2,12,10.8,14.0,1.9,0.4,1.2,29.4,0.2,0.3,75.0,0.8,40.7,0.4,22.2,0.0,0.0,0.1,7.4,0.1,7.4
378,Nic Claxton,BKN,59,31,28,29.3,39.4,8.3,3.7,4.8,77.0,0.7,1.4,54.3,8.2,99.0,2.1,25.5,0.3,4.1,0.4,5.1,0.7,8.2
379,Nick Richards,CHA,50,15,35,17.5,22.0,5.1,2.1,3.5,60.7,0.9,1.2,77.0,5.3,105.5,0.5,9.9,0.0,0.8,0.3,5.5,0.6,11.5
380,Nickeil Alexander-Walker,MIN,42,20,22,14.7,29.4,0.2,0.1,0.1,80.0,0.0,0.0,0.0,0.2,114.3,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0
381,Nicolas Batum,LAC,62,33,29,22.2,29.7,0.9,0.3,0.5,62.5,0.1,0.1,100.0,0.7,80.7,0.3,31.6,0.0,3.5,0.0,5.3,0.0,3.5
382,Nikola Jokic,DEN,56,42,14,33.6,99.1,7.9,3.6,5.1,70.7,1.1,1.4,80.5,8.6,108.3,1.7,20.9,0.5,6.5,0.2,2.9,0.6,7.9
383,Nikola Jovic,MIA,15,7,8,13.6,23.2,1.7,0.7,1.0,66.7,0.1,0.1,100.0,1.5,88.5,0.7,38.5,0.0,0.0,0.0,0.0,0.1,3.8
384,Nikola Vucevic,CHI,63,28,35,33.8,67.3,6.1,2.7,3.7,71.4,0.6,0.7,83.3,6.0,97.2,1.4,23.6,0.1,2.1,0.3,5.7,0.3,5.4
385,Noah Vonleh,BOS,23,17,6,7.5,9.5,1.1,0.3,0.6,57.1,0.0,0.0,0.0,0.7,61.5,0.5,42.3,0.2,15.4,0.0,0.0,0.0,0.0
386,Norman Powell,LAC,54,27,27,25.8,36.0,0.6,0.2,0.4,57.1,0.0,0.0,100.0,0.5,84.8,0.1,21.2,0.0,6.1,0.1,9.1,0.0,3.0
387,O.G. Anunoby,TOR,50,24,26,35.8,48.2,3.1,1.0,1.6,63.4,0.3,0.4,72.2,2.4,78.6,0.9,28.6,0.2,5.8,0.2,6.5,0.2,5.8
388,Obi Toppin,NYK,50,28,22,14.7,23.9,1.7,0.6,1.1,53.6,0.2,0.2,80.0,1.4,83.1,0.3,19.3,0.0,1.2,0.1,6.0,0.1,6.0
389,Ochai Agbaji,UTA,41,23,18,16.0,15.4,0.8,0.3,0.4,72.2,0.0,0.0,50.0,0.7,87.1,0.2,32.3,0.0,3.2,0.0,3.2,0.0,3.2
390,Onyeka Okongwu,ATL,61,32,29,23.8,30.0,6.4,2.7,3.8,70.7,0.8,1.0,81.7,6.3,98.2,1.5,23.5,0.2,2.6,0.3,4.9,0.4,6.9
391,Orlando Robinson,MIA,29,17,12,13.7,17.7,4.0,1.2,2.2,57.1,0.2,0.3,70.0,2.8,70.7,1.2,29.3,0.2,6.0,0.3,8.6,0.2,5.2
392,Oshae Brissett,IND,49,21,28,16.0,25.2,1.3,0.4,0.6,60.0,0.1,0.2,70.0,0.9,66.7,0.6,43.9,0.1,4.5,0.0,1.5,0.1,7.6
393,Otto Porter Jr.,TOR,8,4,4,18.3,26.1,1.9,0.6,0.6,100.0,0.5,0.5,100.0,2.0,106.7,0.5,26.7,0.1,6.7,0.1,6.7,0.3,13.3
394,Ousmane Dieng,OKC,20,9,11,15.3,18.6,1.0,0.5,0.6,75.0,0.1,0.1,50.0,1.0,100.0,0.3,26.3,0.0,0.0,0.1,5.3,0.1,5.3
395,P.J. Tucker,PHI,60,38,22,26.0,21.4,2.1,0.4,0.8,44.7,0.1,0.1,100.0,0.8,37.3,1.0,48.4,0.2,7.1,0.2,7.1,0.0,1.6
396,P.J. Washington,CHA,60,18,42,32.9,56.0,2.4,1.0,1.6,63.8,0.4,0.5,76.7,2.4,102.8,0.4,16.3,0.1,2.1,0.1,4.3,0.2,9.9
397,PJ Dozier,SAC,6,6,0,1.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Paolo Banchero,ORL,57,24,33,33.7,63.9,2.4,0.9,1.4,63.0,0.5,0.6,81.1,2.3,97.8,0.4,18.4,0.0,1.5,0.1,5.1,0.3,12.5
399,Pascal Siakam,TOR,54,26,28,37.5,82.3,3.4,1.4,2.1,66.1,0.4,0.5,78.6,3.3,97.8,0.9,25.0,0.1,4.3,0.1,2.7,0.2,7.1
400,Pat Connaughton,MIL,44,31,13,25.0,35.1,1.4,0.4,0.7,53.1,0.0,0.1,50.0,0.8,58.7,0.6,39.7,0.1,4.8,0.0,3.2,0.0,3.2
401,Patrick Baldwin Jr.,GSW,21,9,12,8.7,14.1,0.3,0.1,0.2,40.0,0.0,0.0,0.0,0.2,57.1,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0
402,Patrick Beverley,CHI,50,24,26,27.0,35.7,0.9,0.1,0.2,58.3,0.0,0.0,100.0,0.3,36.4,0.5,54.5,0.1,11.4,0.1,6.8,0.0,2.3
403,Patrick Williams,CHI,63,28,35,28.8,39.6,1.9,0.8,1.2,66.2,0.2,0.3,81.3,1.8,96.7,0.5,24.2,0.1,4.2,0.0,2.5,0.1,5.8
404,Patty Mills,BKN,37,18,19,13.1,18.3,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,Paul George,LAC,49,27,22,34.2,70.4,1.3,0.5,0.7,78.1,0.2,0.2,100.0,1.2,95.2,0.4,32.3,0.0,3.2,0.1,8.1,0.1,6.5
406,Paul Reed,PHI,49,30,19,9.9,12.4,2.7,1.0,1.5,64.9,0.4,0.4,90.5,2.3,87.1,0.7,25.8,0.1,3.0,0.2,7.6,0.2,6.8
407,Payton Pritchard,BOS,44,30,14,12.4,21.4,0.7,0.2,0.3,90.9,0.0,0.0,0.0,0.5,70.0,0.4,53.3,0.0,6.7,0.0,6.7,0.0,0.0
408,Peyton Watson,DEN,14,9,5,3.2,4.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Precious Achiuwa,TOR,40,22,18,22.7,35.0,3.9,1.6,2.4,66.0,0.4,0.7,63.0,3.6,91.7,0.9,23.1,0.2,4.5,0.2,4.5,0.3,8.3
410,Quentin Grimes,NYK,54,32,22,29.5,31.0,0.7,0.3,0.4,73.7,0.0,0.0,100.0,0.6,77.5,0.3,42.5,0.1,10.0,0.0,0.0,0.0,2.5
411,Quenton Jackson,WAS,3,2,1,2.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,R.J. Hampton,DET,29,7,22,13.7,22.3,0.4,0.1,0.2,80.0,0.1,0.1,100.0,0.4,100.0,0.1,33.3,0.0,0.0,0.0,0.0,0.1,16.7
413,RJ Barrett,NYK,58,33,25,33.9,50.7,1.5,0.7,1.1,66.2,0.2,0.2,71.4,1.7,110.1,0.3,18.0,0.1,3.4,0.0,0.0,0.1,7.9
414,Raul Neto,CLE,41,27,14,10.2,19.8,0.2,0.1,0.1,80.0,0.0,0.0,0.0,0.2,100.0,0.1,37.5,0.0,0.0,0.0,0.0,0.0,0.0
415,Reggie Bullock,DAL,62,32,30,30.5,33.8,0.4,0.2,0.2,100.0,0.0,0.0,50.0,0.5,116.0,0.1,32.0,0.0,4.0,0.0,4.0,0.0,4.0
416,Reggie Jackson,DEN,57,32,25,25.2,51.0,0.6,0.1,0.3,35.3,0.0,0.0,0.0,0.2,35.3,0.2,35.3,0.0,5.9,0.1,8.8,0.0,0.0
417,Richaun Holmes,SAC,35,18,17,8.7,10.2,2.2,0.8,1.2,64.3,0.1,0.2,83.3,1.7,80.3,0.6,26.3,0.1,2.6,0.2,7.9,0.1,2.6
418,Ricky Rubio,CLE,17,11,6,16.1,38.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.1,50.0,0.0,0.0
419,Robert Covington,LAC,38,15,23,16.4,29.1,1.4,0.5,0.9,58.8,0.0,0.1,25.0,1.1,75.9,0.4,27.8,0.1,5.6,0.1,5.6,0.1,3.7
420,Robert Williams III,BOS,28,18,10,24.2,31.1,7.4,3.4,4.4,76.6,0.4,0.7,60.0,7.3,98.6,2.0,27.5,0.2,2.9,0.4,5.3,0.3,4.3
421,Robin Lopez,CLE,32,23,9,7.7,8.3,1.8,0.6,0.9,66.7,0.0,0.1,50.0,1.3,72.4,0.4,22.4,0.1,6.9,0.3,15.5,0.0,1.7
422,Rodney McGruder,DET,23,3,20,11.5,11.3,0.6,0.2,0.3,83.3,0.0,0.0,0.0,0.4,71.4,0.3,50.0,0.0,7.1,0.0,7.1,0.0,0.0
423,Romeo Langford,SAS,31,10,21,20.3,23.2,1.7,0.7,1.0,73.3,0.1,0.1,100.0,1.5,88.9,0.6,33.3,0.1,7.4,0.1,3.7,0.1,3.7
424,Ron Harper Jr.,TOR,4,2,2,3.5,4.3,0.3,0.3,0.3,100.0,0.0,0.0,0.0,0.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,Royce O'Neale,BKN,60,32,28,32.8,62.1,0.8,0.2,0.4,50.0,0.0,0.0,0.0,0.4,48.9,0.3,42.2,0.1,13.3,0.0,2.2,0.0,0.0
426,Rudy Gay,UTA,48,25,23,14.5,22.8,1.0,0.3,0.6,48.1,0.2,0.3,91.7,0.8,80.9,0.1,14.9,0.1,6.4,0.1,8.5,0.1,10.6
427,Rudy Gobert,MIN,53,25,28,30.4,42.7,10.9,4.4,6.3,69.9,1.7,2.6,66.4,10.7,98.1,1.9,17.1,0.3,2.9,0.9,8.5,1.2,11.4
428,Rui Hachimura,LAL,46,25,21,24.4,32.9,2.0,0.9,1.4,61.5,0.2,0.3,71.4,2.0,98.9,0.3,16.3,0.0,2.2,0.1,4.3,0.1,6.5
