,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,32,25,7,9.4,1.2,0.4,36.8,2.4,48.7,0.3,54.3,8.1
2,AJ Griffin,ATL,67,31,36,19.3,2.1,0.6,26.4,3.7,56.7,0.2,59.8,8.6
3,Aaron Gordon,DEN,63,44,19,30.0,6.5,2.9,44.3,10.4,62.4,0.5,65.5,5.9
4,Aaron Holiday,ATL,58,30,28,13.5,1.2,0.2,20.3,2.5,47.6,0.2,51.1,10.1
5,Aaron Nesmith,IND,67,28,39,24.8,3.8,1.2,31.0,7.9,47.5,0.7,52.4,6.9
6,Aaron Wiggins,OKC,64,34,30,18.0,3.0,1.2,40.9,5.7,52.9,0.5,58.0,7.4
7,Admiral Schofield,ORL,33,13,20,11.7,1.7,0.7,39.3,4.2,40.3,0.3,43.4,6.9
8,Al Horford,BOS,60,42,18,30.6,6.2,2.1,34.0,10.3,60.5,1.0,66.7,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,32,15,17,21.5,4.9,2.3,45.9,9.8,50.3,1.1,56.7,5.0
11,Alex Caruso,CHI,60,28,32,24.0,3.0,0.6,19.0,5.5,54.4,0.4,59.1,9.4
12,Alex Len,SAC,19,12,7,3.4,1.0,0.4,42.1,1.8,55.9,0.0,55.9,6.0
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,69,14,55,28.6,8.6,4.0,46.9,15.6,55.4,1.2,60.0,5.2
16,Amir Coffey,LAC,48,25,23,12.7,1.1,0.2,21.2,2.2,48.6,0.1,52.0,10.5
