,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,32,25,7,9.4,4.3,11.9,7.3,0.5,2.61,1.84,0.364,0.1,0.0,0.3,0.0,0.0,0.8
2,AJ Griffin,ATL,65,30,35,19.4,8.9,21.1,14.2,0.7,2.08,1.49,0.42,0.4,0.0,0.7,0.793,2.0,0.953
3,Aaron Gordon,DEN,61,42,19,30.1,16.6,41.7,23.3,2.0,2.94,2.11,0.397,1.8,2.1,6.8,0.519,0.778,1.192
4,Aaron Holiday,ATL,56,29,27,13.7,3.9,20.6,8.0,1.4,4.17,3.82,0.192,0.1,0.0,0.4,0.25,0.0,0.571
5,Aaron Nesmith,IND,64,28,36,24.8,10.0,34.8,20.0,1.0,1.66,0.8,0.287,0.4,0.0,1.1,0.846,0.0,0.812
6,Aaron Wiggins,OKC,61,33,28,18.4,6.5,20.8,13.2,0.7,1.95,1.31,0.31,0.5,0.0,2.1,0.438,1.0,0.835
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,18.1,8.5,0.5,1.7,0.8,0.23,0.5,0.0,1.0,0.571,0.0,0.767
8,Al Horford,BOS,57,40,17,30.9,9.9,46.1,25.6,1.2,1.53,0.46,0.214,1.2,0.9,2.8,0.288,0.407,0.541
9,Alec Burks,DET,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,58,26,32,24.0,5.7,44.3,18.4,1.9,2.62,1.87,0.129,0.8,0.0,1.3,0.255,0.0,0.628
12,Alex Len,SAC,18,12,6,3.2,0.7,5.8,3.2,0.1,1.53,0.42,0.124,1.1,0.0,0.7,0.316,0.0,0.692
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,66,14,52,28.6,14.8,55.1,38.2,2.2,2.44,1.26,0.268,5.1,4.3,7.0,0.546,0.504,0.776
16,Amir Coffey,LAC,46,24,22,13.0,3.6,14.1,10.3,0.6,2.51,1.69,0.253,0.1,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,59,27,32,12.7,6.0,17.5,10.9,0.4,1.42,0.48,0.341,1.7,0.4,4.5,0.612,0.583,0.939
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889
19,Andrew Nembhard,IND,66,30,36,27.2,8.9,46.1,22.8,2.8,3.59,3.26,0.192,0.4,0.0,0.6,0.519,0.0,0.561
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,62,27,35,35.0,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842
22,Anthony Davis,LAL,47,24,23,33.7,25.9,67.8,37.5,2.4,2.13,0.89,0.381,5.2,5.0,10.7,0.746,0.761,1.182
23,Anthony Edwards,MIN,71,35,36,36.0,24.7,71.5,36.4,4.8,4.01,3.49,0.346,0.5,0.6,0.9,0.868,0.674,0.954
24,Anthony Gill,WAS,50,18,32,9.8,3.1,9.9,6.5,0.3,1.74,0.68,0.316,0.4,0.0,1.2,0.571,2.0,1.246
25,Anthony Lamb,GSW,53,29,24,20.0,7.0,34.1,18.2,1.0,1.8,0.93,0.207,0.7,0.3,1.7,0.429,0.0,0.587
26,Austin Reaves,LAL,55,28,27,28.0,12.3,39.7,20.9,2.3,3.46,2.95,0.309,0.5,0.0,0.9,0.444,0.0,0.667
27,Austin Rivers,MIN,52,25,27,19.5,4.9,22.8,13.3,1.1,3.0,2.37,0.215,0.1,0.0,0.1,1.0,0.0,0.571
28,Ayo Dosunmu,CHI,69,33,36,26.9,8.8,44.8,17.1,2.6,3.48,3.17,0.196,0.2,0.0,0.7,0.875,0.0,0.979
29,Bam Adebayo,MIA,69,37,32,35.2,21.0,63.0,36.9,3.0,2.85,1.59,0.333,7.0,2.7,7.8,0.683,0.645,0.888
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,69,31,38,27.8,16.6,40.8,27.9,1.7,2.49,1.68,0.408,1.1,0.1,1.8,0.873,0.375,1.008
32,Bismack Biyombo,PHX,52,26,26,13.8,3.7,22.7,13.3,0.6,1.57,0.48,0.164,2.5,0.9,4.5,0.367,0.37,0.636
33,Blake Griffin,BOS,34,21,13,14.3,4.5,20.8,12.6,0.6,1.62,0.59,0.215,1.1,0.4,2.3,0.641,0.571,0.766
34,Blake Wesley,SAS,27,6,21,17.5,5.1,34.4,12.1,2.8,4.85,4.5,0.15,0.3,0.0,0.7,0.5,0.0,0.6
35,Boban Marjanovic,HOU,25,4,21,4.7,3.2,6.4,4.2,0.2,2.15,0.91,0.503,0.7,1.4,1.4,0.882,1.0,1.429
36,Bobby Portis,MIL,61,41,20,26.0,13.9,49.3,24.9,1.5,1.78,0.74,0.281,1.4,3.0,4.3,0.625,0.63,0.902
37,Bogdan Bogdanovic,ATL,47,23,24,28.3,14.1,41.4,25.6,1.9,2.7,1.92,0.34,0.6,0.1,0.5,0.552,0.5,0.667
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
39,Bol Bol,ORL,67,26,41,21.4,9.0,22.6,12.5,0.9,2.32,1.56,0.4,0.4,0.1,1.9,1.148,0.6,1.44
40,Bones Hyland,LAC,48,31,17,19.1,11.6,45.7,19.5,3.6,4.79,4.1,0.255,0.2,0.0,0.4,0.6,0.0,0.556
41,Bradley Beal,WAS,50,24,26,33.5,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938
42,Brandon Boston Jr.,LAC,21,8,13,11.7,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
43,Brandon Clarke,MEM,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095
44,Brandon Ingram,NOP,36,17,19,33.2,23.7,65.0,38.3,4.4,4.01,3.03,0.364,2.0,1.7,0.9,0.778,0.77,0.839
45,Braxton Key,DET,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,70,51,19,30.6,15.6,34.4,23.5,0.8,1.42,0.42,0.453,2.5,1.8,5.6,0.54,1.008,1.117
47,Bruce Brown,DEN,72,49,23,28.1,10.9,50.7,24.3,2.9,3.45,2.81,0.215,0.8,0.1,1.8,0.915,1.0,0.901
48,Bruno Fernando,ATL,35,11,24,10.7,3.7,19.1,11.2,0.4,1.4,0.49,0.195,1.4,0.2,3.5,0.347,0.667,0.828
49,Bryce McGowens,CHA,38,12,26,14.8,3.8,15.0,9.5,0.6,2.31,1.38,0.257,0.1,0.0,0.4,0.0,0.0,0.765
50,Bryn Forbes,MIN,25,9,16,10.7,3.6,11.9,8.9,0.4,2.06,1.31,0.3,0.0,0.0,0.1,0.0,0.0,1.0
51,Buddy Boeheim,DET,7,1,6,9.8,2.0,9.6,6.1,0.2,1.25,0.36,0.209,0.0,0.0,0.1,0.0,0.0,2.0
52,Buddy Hield,IND,73,33,40,31.7,17.1,59.5,34.5,2.0,2.04,1.36,0.287,0.4,0.0,0.9,0.742,0.0,0.908
53,CJ McCollum,NOP,66,32,34,35.1,21.0,74.9,32.8,5.5,4.37,3.9,0.28,0.8,0.0,0.6,0.643,0.0,0.615
54,Cade Cunningham,DET,12,3,9,33.3,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909
55,Caleb Houstan,ORL,44,17,27,15.3,3.7,12.7,7.4,0.3,1.35,0.4,0.288,0.1,0.0,0.7,0.0,0.0,0.71
56,Caleb Martin,MIA,63,34,29,29.7,10.0,38.8,21.8,1.6,2.45,1.56,0.259,0.7,0.1,2.3,0.829,0.0,0.669
57,Cam Reddish,POR,37,14,23,24.9,9.9,28.6,17.8,1.5,3.09,2.16,0.347,0.6,0.0,0.8,0.818,0.0,1.138
58,Cam Thomas,BKN,52,28,24,16.6,10.3,28.9,13.5,2.3,4.82,4.27,0.358,0.3,0.0,0.3,1.0,0.0,1.231
59,Cameron Johnson,BKN,34,19,15,28.0,14.9,38.0,24.3,1.4,2.17,1.58,0.391,0.6,0.0,1.1,0.526,0.0,1.026
60,Cameron Payne,PHX,40,21,19,21.2,10.9,52.5,18.5,4.4,5.01,4.4,0.207,0.1,0.0,0.3,0.0,0.0,0.8
61,Caris LeVert,CLE,69,42,27,30.0,12.0,47.8,28.1,2.9,3.61,3.03,0.252,0.6,0.0,1.1,0.524,0.0,0.514
62,Carlik Jones,CHI,1,0,1,21.7,1.0,35.0,18.0,2.2,3.85,3.31,0.029,0.0,0.0,1.0,0.0,0.0,0.0
63,Cedi Osman,CLE,70,44,26,20.7,8.8,29.0,19.9,1.1,2.36,1.55,0.305,0.4,0.0,0.8,0.815,0.0,0.855
64,Charles Bassey,SAS,35,9,26,14.5,5.7,24.9,14.2,0.6,1.49,0.42,0.228,1.9,0.4,4.7,0.424,0.769,0.976
65,Chima Moneke,SAC,2,1,1,4.0,1.0,6.5,5.0,0.1,1.12,0.54,0.154,0.5,0.0,1.5,0.0,0.0,0.667
66,Chimezie Metu,SAC,59,36,23,10.8,4.9,15.7,9.2,0.4,1.69,0.72,0.312,1.3,0.3,2.9,0.455,0.667,1.065
67,Chris Boucher,TOR,67,33,34,20.0,9.3,23.4,12.4,0.6,1.66,0.58,0.398,0.5,0.1,4.1,0.848,0.0,1.059
68,Chris Duarte,IND,45,19,26,19.8,8.0,29.6,19.2,1.1,2.2,1.55,0.272,0.3,0.0,0.5,0.833,0.0,0.87
69,Chris Paul,PHX,51,26,25,32.0,13.6,74.4,26.7,7.0,5.68,4.89,0.183,0.3,0.2,0.3,0.067,0.333,0.357
70,Chris Silva,DAL,1,1,0,3.0,2.0,4.0,1.0,0.1,2.21,1.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0
71,Christian Braun,DEN,67,45,22,14.5,4.2,16.5,9.8,0.6,2.1,1.21,0.254,0.3,0.0,0.9,0.65,0.0,0.632
72,Christian Koloko,TOR,50,24,26,13.9,3.2,14.7,9.4,0.3,1.19,0.27,0.215,0.9,0.0,3.1,0.395,0.0,0.831
73,Christian Wood,DAL,60,31,29,26.7,17.3,47.6,26.9,1.8,2.27,1.04,0.363,2.2,2.1,4.3,0.664,0.736,1.023
74,Chuma Okeke,ORL,22,6,16,18.8,4.7,22.2,10.9,0.7,2.02,1.22,0.213,0.1,0.0,0.7,0.667,1.0,0.438
75,Clint Capela,ATL,57,30,27,26.6,11.9,36.6,17.8,0.8,1.3,0.26,0.325,2.4,0.5,10.2,0.496,0.552,1.033
76,Coby White,CHI,63,30,33,22.9,9.0,36.6,18.1,2.0,3.2,2.52,0.247,0.0,0.0,0.2,1.0,0.0,0.583
77,Cody Martin,CHA,7,2,5,19.1,5.0,21.4,13.3,0.9,2.56,1.66,0.233,0.1,0.0,1.1,0.0,0.0,0.5
78,Cody Zeller,MIA,10,4,6,13.0,4.7,19.5,12.4,0.6,1.74,0.69,0.241,1.9,0.0,3.2,0.526,0.0,0.625
79,Cole Anthony,ORL,54,25,29,25.6,12.7,53.1,18.8,4.2,4.71,4.11,0.24,0.4,0.0,1.0,0.714,0.0,0.769
80,Cole Swider,LAL,6,1,5,6.7,1.5,9.2,5.0,0.2,1.57,0.62,0.164,0.0,0.0,0.3,0.0,0.0,0.0
81,Collin Sexton,UTA,47,24,23,24.0,14.3,46.1,19.3,3.7,4.86,4.33,0.309,0.4,0.0,1.2,0.526,0.0,0.862
82,Corey Kispert,WAS,65,28,37,27.7,9.9,30.9,18.8,0.8,1.47,0.6,0.32,0.5,0.0,1.1,0.839,0.0,0.833
83,Cory Joseph,DET,54,11,43,18.5,6.4,38.4,13.8,3.2,5.06,5.21,0.166,0.1,0.0,0.2,0.333,0.0,0.727
84,D'Angelo Russell,LAL,65,34,31,32.5,18.0,80.8,34.9,5.5,4.08,3.43,0.223,0.5,0.2,0.8,0.829,0.8,0.76
85,Daishen Nix,HOU,49,12,37,16.6,4.2,37.6,15.3,2.8,4.52,4.36,0.113,0.1,0.0,0.3,1.2,0.0,0.692
86,Dalano Banton,TOR,27,14,13,9.3,4.4,20.8,9.6,1.3,3.81,2.89,0.214,0.1,0.0,0.7,1.0,0.0,1.3
87,Dalen Terry,CHI,28,13,15,5.3,1.7,7.5,3.9,0.3,2.51,1.83,0.224,0.1,0.0,0.4,0.0,0.0,0.4
88,Damian Jones,UTA,32,10,22,9.5,2.8,9.9,5.7,0.2,1.33,0.31,0.284,0.8,0.1,2.3,0.154,1.0,0.958
89,Damian Lillard,POR,58,27,31,36.3,32.2,88.1,37.4,7.6,5.16,4.57,0.365,0.4,0.1,0.6,0.625,1.0,0.556
90,Damion Lee,PHX,70,38,32,20.7,8.3,28.9,17.3,1.1,2.32,1.59,0.288,0.3,0.0,0.5,0.571,0.0,0.647
91,Daniel Gafford,WAS,71,30,41,19.9,8.5,28.0,15.4,0.7,1.49,0.34,0.303,2.0,0.4,5.1,0.626,0.643,1.184
92,Daniel Theis,IND,7,1,6,15.5,7.0,23.7,18.0,0.6,1.51,0.39,0.295,2.1,0.1,3.4,0.8,0.0,0.917
93,Danny Green,CLE,9,5,4,9.8,3.0,13.6,7.9,0.4,1.66,0.83,0.221,0.1,0.0,0.2,0.0,0.0,0.0
94,Danuel House Jr.,PHI,48,33,15,14.3,4.3,16.0,8.5,0.6,2.09,1.2,0.269,0.1,0.0,0.4,1.167,0.0,1.15
95,Dario Saric,OKC,53,25,28,14.1,6.3,23.6,14.0,0.7,1.75,0.87,0.268,1.0,0.6,2.0,0.588,0.667,0.856
96,Darius Bazley,PHX,40,18,22,14.5,5.1,22.6,10.8,0.8,2.01,1.15,0.226,0.8,0.2,1.9,0.71,0.429,0.724
97,Darius Days,HOU,4,0,4,6.2,3.8,10.8,5.5,0.2,1.19,0.14,0.349,0.0,0.0,0.0,0.0,0.0,0.0
98,Darius Garland,CLE,64,37,27,35.2,21.7,76.6,29.3,7.3,5.71,5.39,0.284,0.6,0.0,0.5,0.667,0.667,0.727
99,David Duke Jr.,BKN,18,7,11,9.6,3.4,12.9,6.6,0.8,3.66,3.12,0.266,0.1,0.0,0.5,0.0,0.0,0.889
100,David Roddy,MEM,60,38,22,17.1,6.7,19.9,12.4,0.7,1.97,1.11,0.335,0.4,0.1,0.9,0.5,1.667,1.167
101,Davion Mitchell,SAC,71,42,29,17.9,5.7,34.3,12.5,2.6,4.49,4.39,0.165,0.1,0.0,0.4,0.6,0.0,0.724
102,Davis Bertans,DAL,41,19,22,10.6,4.1,12.9,7.9,0.3,1.18,0.4,0.321,0.2,0.0,0.3,0.5,0.0,0.462
103,Davon Reed,LAL,40,26,14,8.4,2.2,15.5,7.6,0.7,2.76,2.05,0.14,0.1,0.1,0.4,0.0,0.0,0.286
104,Day'Ron Sharpe,BKN,39,16,23,11.4,4.6,18.6,11.3,0.5,1.72,0.65,0.247,1.5,0.4,4.0,0.542,0.357,0.777
105,De'Aaron Fox,SAC,65,40,25,34.0,25.4,79.5,24.8,6.7,5.05,4.69,0.319,0.4,0.1,0.7,0.609,0.667,0.955
106,De'Andre Hunter,ATL,63,34,29,31.9,15.5,38.1,23.8,1.4,2.23,1.39,0.407,0.9,0.5,1.2,0.944,0.939,0.893
107,De'Anthony Melton,PHI,69,47,22,28.1,10.5,48.7,24.4,2.2,2.67,1.92,0.215,0.6,0.0,1.2,0.474,0.0,0.457
108,DeAndre Jordan,DEN,35,22,13,14.3,4.8,18.7,10.8,0.4,1.3,0.23,0.259,2.4,0.2,3.7,0.084,0.571,1.137
109,DeMar DeRozan,CHI,65,32,33,36.5,25.1,60.6,36.9,4.6,4.6,3.71,0.414,1.6,2.7,0.6,0.745,0.79,0.694
110,Dean Wade,CLE,39,27,12,19.9,4.5,22.3,12.8,0.6,1.68,0.51,0.203,0.3,0.0,0.6,0.364,0.0,0.913
111,Deandre Ayton,PHX,61,30,31,30.4,18.3,52.7,28.5,1.4,1.65,0.48,0.347,5.5,4.1,11.3,0.815,0.717,1.004
112,Dejounte Murray,ATL,66,33,33,36.4,20.5,72.5,28.7,5.9,4.87,4.4,0.282,0.5,0.1,1.1,0.333,0.375,0.757
113,Delon Wright,WAS,44,23,21,23.7,6.6,45.1,17.7,3.8,4.99,4.48,0.147,0.3,0.0,1.2,0.714,0.0,0.519
114,Deni Avdija,WAS,71,31,40,26.1,8.7,42.9,20.6,2.0,2.76,2.01,0.204,0.7,0.1,2.0,0.647,0.333,0.683
115,Dennis Schroder,LAL,60,32,28,30.0,12.5,54.8,23.1,4.3,4.73,4.14,0.229,0.2,0.0,0.3,0.462,0.0,0.444
116,Dennis Smith Jr.,CHA,52,17,35,25.6,8.6,52.7,22.4,3.7,4.2,3.82,0.163,0.3,0.0,1.0,0.765,1.0,0.82
117,Deonte Burton,SAC,2,1,1,3.3,0.0,2.0,1.5,0.0,1.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Dereon Seabron,NOP,5,2,3,2.3,0.8,2.8,1.6,0.2,3.24,2.57,0.286,0.0,0.0,0.2,0.0,0.0,2.0
119,Derrick Jones Jr.,CHI,54,23,31,13.7,4.8,17.9,9.5,0.4,1.28,0.38,0.27,0.7,0.1,2.2,0.806,0.667,0.899
120,Derrick Rose,NYK,27,12,15,12.5,5.6,26.9,10.7,1.9,4.25,3.86,0.21,0.2,0.0,0.4,0.667,0.0,1.0
121,Derrick White,BOS,73,50,23,28.2,12.1,47.2,20.2,3.2,4.03,3.4,0.257,0.6,0.0,1.2,0.558,0.0,0.679
122,Desmond Bane,MEM,50,32,18,31.4,21.1,63.0,34.0,3.1,2.94,2.13,0.334,0.7,0.0,0.9,1.056,0.0,1.023
123,Devin Booker,PHX,45,27,18,34.6,28.1,64.0,37.0,5.2,4.87,4.22,0.439,1.1,1.2,1.5,0.837,0.778,0.836
124,Devin Vassell,SAS,37,12,25,31.1,18.8,53.4,32.9,3.1,3.44,2.53,0.352,0.5,0.0,0.6,1.211,0.0,0.905
125,Devon Dotson,WAS,6,1,5,8.8,0.5,16.3,9.0,1.1,4.11,3.65,0.031,0.5,0.0,0.5,0.0,0.0,0.0
126,Devonte' Graham,SAS,67,30,37,17.9,7.4,34.2,16.4,2.0,3.5,2.84,0.217,0.2,0.0,0.2,0.364,0.0,0.545
127,Dewayne Dedmon,PHI,34,21,13,11.0,5.3,18.5,10.1,0.5,1.69,0.45,0.288,1.4,0.5,2.8,0.898,0.778,0.885
128,Dillon Brooks,MEM,65,41,24,30.5,14.2,41.1,26.9,1.9,2.71,1.82,0.346,0.4,0.2,0.8,0.643,0.667,0.863
129,Domantas Sabonis,SAC,70,42,28,34.8,19.0,83.7,48.5,3.4,2.44,1.4,0.228,8.8,4.6,9.7,0.6,0.466,0.858
130,Dominick Barlow,SAS,19,2,17,12.1,2.9,13.2,8.4,0.3,1.56,0.65,0.224,1.6,0.1,2.7,0.333,1.0,0.558
131,Donovan Mitchell,CLE,63,41,22,35.5,27.5,67.9,31.9,5.6,4.98,4.48,0.404,0.8,0.0,1.1,0.922,1.0,0.836
132,Donte DiVincenzo,GSW,63,35,28,26.5,9.2,48.8,23.5,2.2,2.71,2.14,0.188,0.7,0.0,1.5,0.333,0.0,0.583
133,Dorian Finney-Smith,BKN,59,26,33,30.9,8.2,38.0,22.3,1.0,1.56,0.67,0.216,0.6,0.0,2.1,0.394,0.0,0.744
134,Doug McDermott,SAS,59,18,41,20.7,9.9,28.0,20.2,0.8,1.67,0.79,0.352,0.3,0.0,0.9,1.0,2.0,0.981
135,Draymond Green,GSW,64,34,30,31.4,8.5,72.6,39.6,2.2,1.85,0.9,0.117,2.8,1.3,3.0,0.441,0.094,0.667
136,Drew Eubanks,POR,70,30,40,19.5,6.0,26.1,14.2,0.7,1.6,0.46,0.23,2.3,0.3,3.9,0.64,0.6,0.873
137,Dru Smith,BKN,10,4,6,12.4,4.2,22.7,8.2,1.7,4.41,4.41,0.185,0.3,0.0,0.4,1.333,0.0,0.5
138,Duane Washington Jr.,NYK,31,17,14,12.7,7.9,30.0,12.2,2.5,5.0,4.68,0.263,0.1,0.0,0.1,0.0,0.0,0.0
139,Duncan Robinson,MIA,35,16,19,16.5,6.3,23.1,16.2,0.7,1.72,0.81,0.274,0.2,0.0,0.4,1.0,0.0,1.133
