,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,32,25,7,9.4,4.3,11.9,7.3,0.5,2.61,1.84,0.364,0.1,0.0,0.3,0.0,0.0,0.8
2,AJ Griffin,ATL,62,29,33,19.4,8.8,21.1,14.3,0.7,2.05,1.47,0.417,0.5,0.0,0.6,0.793,2.0,0.975
3,Aaron Gordon,DEN,58,40,18,30.1,16.8,42.1,23.5,2.1,2.93,2.1,0.399,1.8,2.1,6.9,0.519,0.764,1.184
4,Aaron Holiday,ATL,54,28,26,13.6,3.9,19.8,7.9,1.3,4.05,3.66,0.199,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,61,27,34,24.8,9.9,34.5,19.9,0.9,1.65,0.79,0.285,0.4,0.0,1.1,0.8,0.0,0.862
6,Aaron Wiggins,OKC,58,31,27,18.5,6.6,21.2,13.5,0.7,1.97,1.33,0.311,0.5,0.0,2.1,0.387,1.0,0.839
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,18.1,8.5,0.5,1.7,0.8,0.23,0.5,0.0,1.0,0.571,0.0,0.767
8,Al Horford,BOS,56,39,17,31.0,9.9,46.4,25.8,1.2,1.53,0.46,0.213,1.2,1.0,2.8,0.288,0.407,0.532
9,Alec Burks,DET,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,57,25,32,24.3,5.7,44.7,18.6,2.0,2.62,1.86,0.127,0.8,0.0,1.4,0.261,0.0,0.61
12,Alex Len,SAC,17,11,6,3.1,0.8,5.5,2.9,0.1,1.5,0.42,0.138,1.1,0.0,0.7,0.333,0.0,0.75
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,64,14,50,28.5,14.7,54.7,37.9,2.2,2.45,1.27,0.269,5.2,4.4,7.0,0.537,0.511,0.765
16,Amir Coffey,LAC,45,23,22,13.2,3.6,14.3,10.5,0.6,2.52,1.7,0.255,0.1,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,56,25,31,12.9,6.0,17.8,11.1,0.4,1.43,0.48,0.34,1.7,0.4,4.5,0.625,0.522,0.933
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889
19,Andrew Nembhard,IND,63,29,34,26.9,8.5,44.6,22.6,2.6,3.49,3.15,0.191,0.4,0.0,0.6,0.519,0.0,0.575
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,61,27,34,35.0,21.1,67.7,32.4,5.4,4.78,4.18,0.313,0.3,0.0,0.6,1.056,0.0,0.865
22,Anthony Davis,LAL,45,22,23,33.6,26.1,67.9,37.5,2.4,2.12,0.87,0.384,5.1,5.0,10.8,0.746,0.749,1.195
23,Anthony Edwards,MIN,71,35,36,36.0,24.7,71.5,36.4,4.8,4.01,3.49,0.346,0.5,0.6,0.9,0.868,0.674,0.954
24,Anthony Gill,WAS,47,18,29,9.9,3.1,9.9,6.5,0.3,1.73,0.67,0.313,0.4,0.0,1.2,0.571,2.0,1.25
25,Anthony Lamb,GSW,50,27,23,20.0,6.9,33.9,18.3,1.0,1.79,0.93,0.204,0.7,0.4,1.8,0.382,0.0,0.551
26,Austin Reaves,LAL,53,26,27,27.7,11.6,38.4,20.4,2.2,3.37,2.84,0.302,0.5,0.0,1.0,0.444,0.0,0.667
27,Austin Rivers,MIN,51,24,27,19.9,5.0,23.2,13.6,1.2,3.0,2.37,0.216,0.1,0.0,0.1,1.0,0.0,0.571
28,Ayo Dosunmu,CHI,66,31,35,27.0,8.8,45.3,17.2,2.6,3.48,3.18,0.195,0.2,0.0,0.7,0.933,0.0,1.0
29,Bam Adebayo,MIA,66,35,31,35.1,21.0,63.2,37.0,3.0,2.85,1.59,0.333,7.1,2.7,7.8,0.687,0.629,0.888
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,67,30,37,27.8,16.6,41.0,28.0,1.7,2.48,1.69,0.406,1.2,0.1,1.8,0.873,0.286,0.992
32,Bismack Biyombo,PHX,50,26,24,13.4,3.6,22.2,13.0,0.6,1.58,0.49,0.162,2.4,0.9,4.4,0.352,0.386,0.641
33,Blake Griffin,BOS,33,21,12,14.2,4.4,20.8,12.6,0.6,1.62,0.61,0.213,1.2,0.4,2.2,0.632,0.571,0.77
34,Blake Wesley,SAS,24,5,19,17.0,5.2,33.1,11.7,2.7,4.82,4.43,0.157,0.3,0.0,0.8,0.429,0.0,0.667
35,Boban Marjanovic,HOU,25,4,21,4.7,3.2,6.4,4.2,0.2,2.15,0.91,0.503,0.7,1.4,1.4,0.882,1.0,1.429
36,Bobby Portis,MIL,59,39,20,26.0,13.8,49.8,25.1,1.5,1.78,0.73,0.277,1.5,3.1,4.4,0.625,0.628,0.899
37,Bogdan Bogdanovic,ATL,44,22,22,28.4,14.1,41.5,25.4,1.9,2.74,1.97,0.34,0.6,0.1,0.5,0.5,0.5,0.609
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
39,Bol Bol,ORL,65,25,40,21.8,9.2,23.0,12.8,0.9,2.32,1.57,0.401,0.4,0.2,1.9,1.148,0.6,1.44
40,Bones Hyland,LAC,47,30,17,19.0,11.6,45.4,19.3,3.6,4.8,4.11,0.255,0.2,0.0,0.4,0.6,0.0,0.556
41,Bradley Beal,WAS,48,24,24,33.5,23.4,67.8,38.9,5.1,4.53,4.09,0.345,1.9,0.6,1.6,0.644,0.414,0.961
42,Brandon Boston Jr.,LAC,21,8,13,11.7,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
43,Brandon Clarke,MEM,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095
44,Brandon Ingram,NOP,33,14,19,33.0,23.2,64.8,37.9,4.3,4.01,3.03,0.358,2.0,1.6,0.8,0.848,0.712,0.846
45,Braxton Key,DET,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,68,49,19,30.7,15.5,34.6,23.6,0.8,1.42,0.42,0.447,2.5,1.8,5.7,0.512,0.992,1.096
47,Bruce Brown,DEN,69,47,22,28.2,11.0,50.9,24.6,2.9,3.38,2.74,0.216,0.8,0.1,1.8,0.929,1.0,0.889
48,Bruno Fernando,ATL,34,10,24,10.9,3.8,19.5,11.5,0.5,1.4,0.49,0.196,1.4,0.2,3.6,0.347,0.667,0.828
49,Bryce McGowens,CHA,36,11,25,14.8,3.8,14.9,9.5,0.6,2.28,1.36,0.254,0.1,0.0,0.5,0.0,0.0,0.765
50,Bryn Forbes,MIN,25,9,16,10.7,3.6,11.9,8.9,0.4,2.06,1.31,0.3,0.0,0.0,0.1,0.0,0.0,1.0
51,Buddy Boeheim,DET,5,1,4,11.8,2.8,10.2,6.4,0.2,1.24,0.43,0.275,0.0,0.0,0.2,0.0,0.0,2.0
52,Buddy Hield,IND,70,32,38,31.7,17.2,59.6,34.6,2.0,2.04,1.36,0.288,0.4,0.0,0.9,0.724,0.0,0.82
53,CJ McCollum,NOP,63,29,34,35.1,21.0,75.0,32.7,5.5,4.38,3.92,0.28,0.8,0.0,0.6,0.679,0.0,0.632
54,Cade Cunningham,DET,12,3,9,33.3,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909
55,Caleb Houstan,ORL,40,14,26,15.1,3.8,12.6,7.4,0.3,1.35,0.4,0.303,0.1,0.0,0.7,0.0,0.0,0.741
56,Caleb Martin,MIA,60,32,28,29.7,10.2,39.0,22.2,1.6,2.43,1.54,0.261,0.6,0.1,2.3,0.842,0.0,0.676
57,Cam Reddish,POR,35,13,22,25.2,10.2,29.1,18.2,1.5,3.09,2.16,0.35,0.6,0.0,0.8,0.762,0.0,1.107
58,Cam Thomas,BKN,51,28,23,16.5,10.4,28.9,13.5,2.3,4.82,4.27,0.36,0.4,0.0,0.3,1.0,0.0,1.231
59,Cameron Johnson,BKN,31,19,12,27.8,15.2,37.8,23.8,1.3,2.11,1.5,0.401,0.6,0.0,1.0,0.556,0.0,1.065
60,Cameron Payne,PHX,38,21,17,21.6,11.2,53.1,18.8,4.5,5.04,4.44,0.211,0.1,0.0,0.2,0.0,0.0,0.889
61,Caris LeVert,CLE,67,40,27,30.0,11.9,48.0,28.3,2.9,3.6,3.03,0.248,0.6,0.0,1.1,0.488,0.0,0.493
62,Carlik Jones,CHI,1,0,1,21.7,1.0,35.0,18.0,2.2,3.85,3.31,0.029,0.0,0.0,1.0,0.0,0.0,0.0
63,Cedi Osman,CLE,68,42,26,20.6,8.8,29.2,20.1,1.1,2.35,1.56,0.301,0.4,0.0,0.8,0.769,0.0,0.833
64,Charles Bassey,SAS,35,9,26,14.5,5.7,24.9,14.2,0.6,1.49,0.42,0.228,1.9,0.4,4.7,0.424,0.769,0.976
65,Chima Moneke,SAC,2,1,1,4.0,1.0,6.5,5.0,0.1,1.12,0.54,0.154,0.5,0.0,1.5,0.0,0.0,0.667
66,Chimezie Metu,SAC,56,35,21,10.9,5.0,16.0,9.4,0.4,1.69,0.72,0.313,1.3,0.3,2.9,0.473,0.588,1.091
67,Chris Boucher,TOR,64,32,32,19.9,9.4,23.4,12.5,0.7,1.67,0.59,0.403,0.5,0.1,4.1,0.867,0.0,1.054
68,Chris Duarte,IND,45,19,26,19.8,8.0,29.6,19.2,1.1,2.2,1.55,0.272,0.3,0.0,0.5,0.833,0.0,0.87
69,Chris Paul,PHX,49,26,23,32.1,13.5,74.4,26.8,7.0,5.68,4.89,0.182,0.3,0.2,0.3,0.071,0.364,0.357
70,Chris Silva,DAL,1,1,0,3.0,2.0,4.0,1.0,0.1,2.21,1.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0
71,Christian Braun,DEN,64,43,21,14.5,4.3,16.5,9.8,0.6,2.12,1.22,0.262,0.3,0.0,0.9,0.65,0.0,0.632
72,Christian Koloko,TOR,48,23,25,14.1,3.3,14.8,9.5,0.3,1.19,0.27,0.223,0.9,0.0,3.2,0.415,0.0,0.837
73,Christian Wood,DAL,58,31,27,26.7,17.2,47.3,26.6,1.8,2.26,1.03,0.363,2.2,2.1,4.2,0.675,0.748,1.024
74,Chuma Okeke,ORL,22,6,16,18.8,4.7,22.2,10.9,0.7,2.02,1.22,0.213,0.1,0.0,0.7,0.667,1.0,0.438
75,Clint Capela,ATL,54,29,25,26.6,11.9,36.6,17.9,0.8,1.29,0.26,0.324,2.4,0.5,10.3,0.485,0.571,1.02
76,Coby White,CHI,60,28,32,22.6,8.7,35.5,17.7,1.9,3.16,2.48,0.245,0.0,0.0,0.2,1.0,0.0,0.636
77,Cody Martin,CHA,7,2,5,19.1,5.0,21.4,13.3,0.9,2.56,1.66,0.233,0.1,0.0,1.1,0.0,0.0,0.5
78,Cody Zeller,MIA,10,4,6,13.0,4.7,19.5,12.4,0.6,1.74,0.69,0.241,1.9,0.0,3.2,0.526,0.0,0.625
79,Cole Anthony,ORL,50,22,28,25.4,12.4,52.9,18.6,4.2,4.77,4.17,0.234,0.4,0.0,0.9,0.722,0.0,0.826
80,Cole Swider,LAL,6,1,5,6.7,1.5,9.2,5.0,0.2,1.57,0.62,0.164,0.0,0.0,0.3,0.0,0.0,0.0
81,Collin Sexton,UTA,47,24,23,24.0,14.3,46.1,19.3,3.7,4.86,4.33,0.309,0.4,0.0,1.2,0.526,0.0,0.862
82,Corey Kispert,WAS,62,28,34,27.5,9.9,30.6,18.6,0.7,1.45,0.58,0.322,0.4,0.0,1.1,0.889,0.0,0.879
83,Cory Joseph,DET,52,11,41,18.1,6.1,37.8,13.3,3.2,5.12,5.27,0.161,0.1,0.0,0.2,0.333,0.0,0.727
84,D'Angelo Russell,LAL,63,32,31,32.5,17.9,81.2,35.1,5.5,4.08,3.42,0.22,0.6,0.2,0.8,0.829,0.8,0.75
85,Daishen Nix,HOU,47,12,35,16.7,4.4,37.8,15.3,2.8,4.52,4.36,0.115,0.1,0.0,0.3,1.2,0.0,0.692
86,Dalano Banton,TOR,27,14,13,9.3,4.4,20.8,9.6,1.3,3.81,2.89,0.214,0.1,0.0,0.7,1.0,0.0,1.3
87,Dalen Terry,CHI,27,13,14,5.0,1.7,7.4,3.8,0.3,2.54,1.86,0.236,0.1,0.0,0.4,0.0,0.0,0.4
88,Damian Jones,UTA,30,9,21,9.8,2.9,10.3,5.9,0.2,1.33,0.31,0.282,0.8,0.1,2.4,0.16,1.0,0.972
89,Damian Lillard,POR,56,26,30,36.3,32.4,87.9,37.4,7.6,5.15,4.57,0.369,0.4,0.1,0.6,0.652,1.0,0.529
90,Damion Lee,PHX,69,38,31,20.8,8.4,29.0,17.4,1.1,2.33,1.6,0.288,0.3,0.0,0.5,0.571,0.0,0.647
91,Daniel Gafford,WAS,68,30,38,19.8,8.5,28.0,15.5,0.7,1.49,0.34,0.303,2.0,0.4,5.2,0.635,0.667,1.179
92,Daniel Theis,IND,7,1,6,15.5,7.0,23.7,18.0,0.6,1.51,0.39,0.295,2.1,0.1,3.4,0.8,0.0,0.917
93,Danny Green,CLE,9,5,4,9.8,3.0,13.6,7.9,0.4,1.66,0.83,0.221,0.1,0.0,0.2,0.0,0.0,0.0
94,Danuel House Jr.,PHI,45,31,14,13.9,4.3,15.8,8.4,0.6,2.13,1.24,0.275,0.1,0.0,0.4,1.167,0.0,1.278
95,Dario Saric,OKC,51,24,27,14.4,6.5,24.0,14.3,0.7,1.74,0.86,0.271,0.9,0.6,2.0,0.596,0.667,0.864
96,Darius Bazley,PHX,38,18,20,15.1,5.3,23.3,11.1,0.8,2.01,1.15,0.227,0.8,0.2,2.0,0.71,0.429,0.733
97,Darius Days,HOU,4,0,4,6.2,3.8,10.8,5.5,0.2,1.19,0.14,0.349,0.0,0.0,0.0,0.0,0.0,0.0
98,Darius Garland,CLE,62,35,27,35.2,21.9,76.9,29.6,7.3,5.7,5.37,0.285,0.5,0.0,0.5,0.588,1.0,0.688
99,David Duke Jr.,BKN,18,7,11,9.6,3.4,12.9,6.6,0.8,3.66,3.12,0.266,0.1,0.0,0.5,0.0,0.0,0.889
100,David Roddy,MEM,57,35,22,16.8,6.5,19.5,12.1,0.7,2.0,1.14,0.334,0.4,0.1,0.8,0.522,1.667,1.191
101,Davion Mitchell,SAC,68,41,27,17.9,5.6,34.1,12.3,2.6,4.54,4.45,0.164,0.1,0.0,0.4,0.6,0.0,0.75
102,Davis Bertans,DAL,39,19,20,10.7,4.3,12.9,7.9,0.2,1.16,0.39,0.333,0.2,0.0,0.3,0.5,0.0,0.5
103,Davon Reed,LAL,40,26,14,8.4,2.2,15.5,7.6,0.7,2.76,2.05,0.14,0.1,0.1,0.4,0.0,0.0,0.286
104,Day'Ron Sharpe,BKN,36,16,20,11.2,4.1,18.0,10.6,0.5,1.74,0.66,0.228,1.3,0.4,3.5,0.458,0.231,0.77
105,De'Aaron Fox,SAC,62,39,23,34.1,25.5,79.8,24.6,6.7,5.07,4.72,0.32,0.4,0.1,0.7,0.609,0.667,0.952
106,De'Andre Hunter,ATL,60,33,27,31.9,15.6,38.3,23.9,1.4,2.23,1.39,0.407,0.9,0.5,1.2,0.942,1.0,0.931
107,De'Anthony Melton,PHI,66,45,21,27.7,10.1,48.3,24.1,2.1,2.67,1.92,0.209,0.6,0.0,1.1,0.474,0.0,0.413
108,DeAndre Jordan,DEN,35,22,13,14.3,4.8,18.7,10.8,0.4,1.3,0.23,0.259,2.4,0.2,3.7,0.084,0.571,1.137
109,DeMar DeRozan,CHI,62,30,32,36.5,25.5,60.9,37.2,4.6,4.58,3.69,0.418,1.5,2.7,0.5,0.723,0.811,0.676
110,Dean Wade,CLE,39,27,12,19.9,4.5,22.3,12.8,0.6,1.68,0.51,0.203,0.3,0.0,0.6,0.364,0.0,0.913
111,Deandre Ayton,PHX,61,30,31,30.4,18.3,52.7,28.5,1.4,1.65,0.48,0.347,5.5,4.1,11.3,0.815,0.717,1.004
112,Dejounte Murray,ATL,65,33,32,36.4,20.5,72.4,28.7,5.9,4.86,4.4,0.283,0.5,0.1,1.1,0.343,0.429,0.767
113,Delon Wright,WAS,41,23,18,24.1,6.8,46.0,17.9,3.8,5.0,4.5,0.148,0.3,0.0,1.3,0.615,0.0,0.491
114,Deni Avdija,WAS,68,31,37,25.8,8.6,42.0,20.4,1.9,2.73,1.98,0.205,0.7,0.1,2.0,0.62,0.333,0.689
115,Dennis Schroder,LAL,58,30,28,30.1,12.5,54.8,23.0,4.3,4.74,4.15,0.229,0.2,0.0,0.3,0.462,0.0,0.444
116,Dennis Smith Jr.,CHA,50,16,34,25.7,8.7,52.3,22.3,3.7,4.21,3.84,0.167,0.3,0.0,1.0,0.765,1.0,0.771
117,Deonte Burton,SAC,2,1,1,3.3,0.0,2.0,1.5,0.0,1.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Dereon Seabron,NOP,5,2,3,2.3,0.8,2.8,1.6,0.2,3.24,2.57,0.286,0.0,0.0,0.2,0.0,0.0,2.0
119,Derrick Jones Jr.,CHI,51,21,30,13.8,4.7,18.1,9.6,0.4,1.28,0.38,0.261,0.6,0.1,2.2,0.818,0.667,0.901
120,Derrick Rose,NYK,27,12,15,12.5,5.6,26.9,10.7,1.9,4.25,3.86,0.21,0.2,0.0,0.4,0.667,0.0,1.0
121,Derrick White,BOS,71,49,22,28.1,12.1,47.0,20.1,3.2,4.04,3.42,0.257,0.6,0.0,1.1,0.571,0.0,0.704
122,Desmond Bane,MEM,47,29,18,31.2,21.1,62.5,33.9,3.0,2.92,2.1,0.337,0.7,0.0,0.9,1.059,0.0,1.0
123,Devin Booker,PHX,43,27,16,34.5,27.6,63.9,36.9,5.2,4.88,4.22,0.432,1.0,1.2,1.6,0.75,0.792,0.836
124,Devin Vassell,SAS,35,11,24,31.1,18.5,53.3,33.2,3.0,3.4,2.49,0.348,0.5,0.0,0.6,1.211,0.0,0.905
125,Devon Dotson,WAS,6,1,5,8.8,0.5,16.3,9.0,1.1,4.11,3.65,0.031,0.5,0.0,0.5,0.0,0.0,0.0
126,Devonte' Graham,SAS,66,30,36,17.8,7.3,34.1,16.3,2.0,3.48,2.82,0.214,0.2,0.0,0.2,0.4,0.0,0.545
127,Dewayne Dedmon,PHI,32,19,13,11.3,5.5,19.1,10.4,0.5,1.69,0.45,0.29,1.5,0.6,2.8,0.898,0.778,0.89
128,Dillon Brooks,MEM,63,39,24,30.5,14.3,41.5,27.1,1.9,2.71,1.82,0.344,0.4,0.2,0.8,0.643,0.667,0.88
129,Domantas Sabonis,SAC,67,41,26,34.7,19.0,83.2,48.3,3.4,2.44,1.41,0.229,8.6,4.6,9.7,0.613,0.479,0.852
130,Dominick Barlow,SAS,17,2,15,11.7,3.2,12.9,8.3,0.3,1.57,0.66,0.247,1.5,0.1,2.7,0.385,1.0,0.63
131,Donovan Mitchell,CLE,61,39,22,35.5,27.4,68.3,32.1,5.7,4.99,4.49,0.4,0.8,0.0,1.1,0.917,1.0,0.862
132,Donte DiVincenzo,GSW,60,33,27,26.8,9.3,49.3,23.6,2.2,2.72,2.16,0.188,0.7,0.0,1.5,0.325,0.0,0.607
133,Dorian Finney-Smith,BKN,56,26,30,31.3,8.5,38.4,22.4,1.0,1.56,0.67,0.22,0.6,0.0,2.0,0.355,0.0,0.768
134,Doug McDermott,SAS,58,18,40,20.7,10.0,28.0,20.2,0.8,1.67,0.8,0.356,0.3,0.0,0.9,1.0,2.0,0.98
135,Draymond Green,GSW,61,32,29,31.5,8.4,72.7,39.8,2.2,1.85,0.91,0.115,2.7,1.3,2.9,0.461,0.103,0.637
136,Drew Eubanks,POR,68,29,39,19.6,6.0,26.3,14.3,0.7,1.6,0.45,0.228,2.4,0.3,4.0,0.619,0.6,0.874
137,Dru Smith,BKN,10,4,6,12.4,4.2,22.7,8.2,1.7,4.41,4.41,0.185,0.3,0.0,0.4,1.333,0.0,0.5
138,Duane Washington Jr.,NYK,31,17,14,12.7,7.9,30.0,12.2,2.5,5.0,4.68,0.263,0.1,0.0,0.1,0.0,0.0,0.0
139,Duncan Robinson,MIA,34,16,18,16.9,6.5,23.7,16.6,0.7,1.72,0.8,0.275,0.2,0.0,0.4,1.0,0.0,1.133
140,Dwight Powell,DAL,66,35,31,20.0,6.9,26.0,14.6,0.7,1.59,0.54,0.265,2.1,0.1,6.0,0.403,0.857,0.945
141,Dylan Windler,CLE,2,2,0,4.0,2.5,8.5,7.0,0.2,1.17,0.23,0.294,0.0,0.0,0.0,0.0,0.0,0.0
142,Dyson Daniels,NOP,48,24,24,18.8,4.0,29.8,14.2,1.6,3.16,2.4,0.134,0.1,0.0,0.8,0.333,0.0,0.769
143,Edmond Sumner,BKN,48,28,20,14.4,7.4,24.3,11.3,1.6,3.95,3.46,0.304,0.3,0.0,0.6,0.667,0.0,1.069
144,Eric Gordon,LAC,58,18,40,29.2,12.6,39.7,23.8,2.4,3.58,3.01,0.318,0.2,0.0,0.4,0.462,2.0,1.304
145,Eugene Omoruyi,DET,31,10,21,14.2,6.1,17.6,11.3,0.4,1.53,0.77,0.349,0.7,0.1,2.4,0.714,2.0,0.973
146,Evan Fournier,NYK,23,13,10,18.0,6.8,23.6,16.7,1.0,2.46,1.83,0.29,0.0,0.0,0.2,0.0,0.0,1.0
147,Evan Mobley,CLE,71,43,28,34.2,16.2,59.2,31.1,1.9,1.94,0.75,0.273,4.4,2.0,8.5,0.629,0.576,0.948
148,Facundo Campazzo,DAL,8,2,6,6.5,1.3,14.9,7.4,0.9,3.57,3.26,0.084,0.0,0.0,0.1,0.0,0.0,0.0
149,Frank Jackson,UTA,1,0,1,5.1,0.0,10.0,2.0,0.6,3.46,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
150,Frank Kaminsky,HOU,33,12,21,6.4,2.4,13.1,8.2,0.4,1.75,0.68,0.185,0.2,0.2,0.8,0.25,1.0,0.72
151,Frank Ntilikina,DAL,42,19,23,11.6,2.3,15.7,7.2,0.8,3.05,2.5,0.144,0.0,0.0,0.2,0.0,0.0,0.286
152,Franz Wagner,ORL,69,27,42,32.8,18.7,53.4,32.4,3.3,3.69,3.07,0.35,0.7,0.3,2.0,0.723,0.708,0.978
153,Fred VanVleet,TOR,58,28,30,37.0,19.4,84.8,37.1,6.4,4.52,4.14,0.229,0.2,0.0,0.2,0.6,1.0,0.923
154,Furkan Korkmaz,PHI,28,20,8,9.7,3.7,14.4,9.9,0.7,2.75,2.14,0.256,0.2,0.0,0.3,1.0,0.0,1.333
155,Gabe Vincent,MIA,57,31,26,26.3,9.5,43.9,20.5,2.8,3.89,3.22,0.216,0.2,0.0,0.4,0.545,1.0,0.72
156,Garrett Temple,NOP,20,12,8,7.1,2.1,9.3,5.7,0.3,1.93,1.25,0.226,0.1,0.0,0.3,0.0,0.0,0.4
157,Garrison Mathews,ATL,48,13,35,12.7,4.6,13.8,8.9,0.3,1.33,0.41,0.33,0.1,0.0,0.1,0.0,0.0,1.167
158,Gary Harris,ORL,39,16,23,25.0,8.4,22.2,16.5,0.8,2.1,1.53,0.378,0.1,0.0,0.6,1.0,0.0,0.826
159,Gary Payton II,GSW,15,8,7,17.0,4.1,23.0,12.5,0.6,1.67,0.72,0.177,0.7,0.1,1.8,0.2,1.0,0.741
160,Gary Trent Jr.,TOR,61,29,32,32.6,17.7,39.3,30.6,1.6,2.45,1.88,0.45,0.4,0.0,0.6,1.125,0.0,1.026
161,George Hill,IND,40,26,14,18.7,5.1,32.8,12.8,2.4,4.4,3.9,0.156,0.3,0.0,0.6,0.538,0.0,0.478
162,Georges Niang,PHI,66,45,21,19.3,8.3,28.9,15.6,0.6,1.33,0.45,0.288,0.1,0.0,0.4,0.4,0.0,1.24
163,Giannis Antetokounmpo,MIL,55,41,14,32.4,31.4,79.2,37.1,5.4,4.06,2.97,0.397,4.2,4.5,5.4,0.565,0.458,1.108
164,Goga Bitadze,ORL,27,8,19,10.1,3.7,15.4,10.1,0.4,1.51,0.55,0.238,0.7,0.3,3.0,0.45,0.375,0.775
165,Goran Dragic,MIL,50,22,28,15.5,6.5,34.4,13.5,2.4,4.19,3.65,0.188,0.1,0.1,0.2,1.0,0.75,0.8
166,Gordon Hayward,CHA,46,17,29,31.5,14.2,48.2,35.0,2.3,2.84,1.85,0.294,1.6,0.4,1.9,0.534,0.3,0.764
167,Gorgui Dieng,SAS,24,2,22,9.8,3.0,18.3,12.8,0.6,1.85,0.63,0.162,0.7,0.3,1.3,0.118,0.0,0.6
168,Grant Williams,BOS,68,47,21,26.6,8.1,30.5,16.4,0.9,1.78,0.76,0.267,0.6,0.1,1.6,0.35,0.333,0.694
169,Grayson Allen,MIL,64,47,17,27.9,10.7,36.2,24.0,1.4,2.39,1.44,0.297,0.3,0.0,0.9,0.6,0.0,0.561
170,Greg Brown III,POR,16,10,6,5.8,1.8,5.3,3.4,0.2,2.31,1.33,0.329,0.1,0.0,0.3,2.0,0.0,0.8
171,Hamidou Diallo,DET,55,12,43,17.7,9.2,27.8,13.7,1.1,2.34,1.67,0.33,1.1,0.1,2.0,1.15,0.0,1.204
172,Harrison Barnes,SAC,69,42,27,32.9,15.0,47.4,30.2,1.7,2.18,1.11,0.317,0.7,0.7,1.8,0.804,0.961,1.016
173,Haywood Highsmith,MIA,46,24,22,18.9,4.7,21.2,12.2,0.6,1.7,0.91,0.222,0.6,0.0,2.0,0.241,0.0,0.511
174,Herbert Jones,NOP,54,22,32,29.0,9.7,42.8,23.3,1.5,2.09,1.05,0.227,0.9,0.1,2.1,0.542,0.75,0.759
175,Immanuel Quickley,NYK,70,41,29,28.5,13.7,49.1,24.1,3.6,4.42,3.81,0.279,0.3,0.0,0.4,0.474,0.0,0.548
176,Isaac Okoro,CLE,73,45,28,21.8,6.5,20.1,12.9,0.6,1.91,1.02,0.324,0.4,0.0,1.2,0.5,2.0,0.884
177,Isaiah Hartenstein,NYK,71,41,30,19.6,4.8,28.8,13.6,0.7,1.36,0.25,0.168,1.7,0.2,5.0,0.382,0.75,0.673
178,Isaiah Jackson,IND,52,21,31,15.3,6.7,21.5,13.7,0.5,1.36,0.41,0.311,1.8,0.3,5.1,0.549,0.733,0.935
179,Isaiah Joe,OKC,62,31,31,18.0,9.0,23.1,14.4,0.8,2.0,1.32,0.389,0.3,0.0,0.3,0.571,0.0,0.75
180,Isaiah Livers,DET,45,10,35,22.4,6.3,25.4,15.8,0.8,1.89,0.88,0.247,0.3,0.0,0.5,0.769,2.0,0.696
