,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,4.8,1.6,0.5,1.2,46.7,0.5,1.2,46.7,70.0
1,AJ Green,MIL,33,9.7,3.2,1.1,2.3,46.7,1.1,2.3,46.7,70.0
2,AJ Griffin,ATL,70,19.3,3.1,1.1,2.8,37.4,1.0,2.7,36.0,54.5
3,Aaron Gordon,DEN,67,30.2,1.6,0.6,1.8,31.1,0.5,1.5,31.4,44.3
4,Aaron Holiday,ATL,60,13.1,1.3,0.4,1.0,42.6,0.4,1.0,42.6,63.9
5,Aaron Nesmith,IND,70,25.0,4.0,1.3,3.8,34.8,1.3,3.7,34.7,51.9
6,Aaron Wiggins,OKC,68,18.5,1.9,0.6,1.6,39.6,0.6,1.6,39.8,59.0
7,Admiral Schofield,ORL,34,11.5,1.9,0.6,1.7,37.3,0.6,1.7,37.3,55.9
8,Al Horford,BOS,62,30.5,6.8,2.3,5.2,43.8,2.2,5.0,44.8,65.1
9,Alec Burks,DET,51,22.0,3.2,1.1,2.5,43.7,1.0,2.4,43.4,64.7
10,Aleksej Pokusevski,OKC,34,20.6,3.4,1.2,3.1,37.7,1.1,2.9,37.4,55.2
11,Alex Caruso,CHI,65,23.7,2.4,0.8,2.2,37.9,0.8,2.1,37.3,55.7
12,Alex Len,SAC,23,5.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,73,29.0,0.9,0.3,0.9,36.8,0.2,0.6,35.6,48.5
16,Amir Coffey,LAC,49,12.7,0.7,0.2,0.7,33.3,0.2,0.7,30.3,47.2
17,Andre Drummond,CHI,65,12.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,8,14.1,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0
19,Andrew Nembhard,IND,72,27.4,3.0,1.0,2.8,36.9,1.0,2.7,36.1,54.3
20,Andrew Wiggins,GSW,37,32.2,6.6,2.2,5.2,43.0,2.1,5.0,42.5,63.5
21,Anfernee Simons,POR,62,35.0,5.7,1.9,4.9,39.3,1.9,4.9,39.2,58.7
22,Anthony Davis,LAL,53,34.0,2.0,0.8,2.4,34.4,0.4,1.2,29.2,41.8
23,Anthony Edwards,MIN,77,36.1,3.3,1.1,2.7,41.7,1.1,2.6,41.6,61.7
24,Anthony Gill,WAS,56,10.1,0.3,0.1,0.4,23.8,0.1,0.4,20.0,33.3
25,Anthony Lamb,GSW,60,19.6,3.4,1.1,3.1,37.0,1.1,3.0,36.3,54.6
26,Austin Reaves,LAL,61,28.6,3.0,1.0,2.5,40.0,1.0,2.5,39.1,59.0
27,Austin Rivers,MIN,52,19.5,2.1,0.7,2.0,36.3,0.7,2.0,36.3,54.4
28,Ayo Dosunmu,CHI,77,26.2,2.2,0.7,2.3,32.2,0.7,2.2,31.8,47.7
29,Bam Adebayo,MIA,73,35.2,1.7,0.8,1.9,44.3,0.0,0.1,12.5,44.6
30,Ben Simmons,BKN,42,26.3,0.1,0.0,0.1,40.0,0.0,0.0,-,40.0
31,Bennedict Mathurin,IND,75,28.2,2.2,0.7,2.4,30.6,0.7,2.3,30.4,44.8
32,Bismack Biyombo,PHX,59,14.4,0.1,0.1,0.2,40.0,-,-,-,40.0
33,Blake Griffin,BOS,38,14.0,1.5,0.5,1.4,35.8,0.5,1.4,36.5,53.8
34,Blake Wesley,SAS,34,17.2,1.3,0.4,1.2,36.6,0.4,1.2,35.0,53.7
35,Boban Marjanovic,HOU,29,5.2,0.1,0.0,0.1,33.3,0.0,0.0,0.0,33.3
36,Bobby Portis,MIL,68,25.9,4.6,1.7,4.1,40.6,1.3,3.5,36.4,56.1
37,Bogdan Bogdanovic,ATL,53,28.1,6.3,2.2,5.3,42.0,1.9,4.8,39.4,59.8
38,Bojan Bogdanovic,DET,59,32.1,5.8,2.0,4.2,47.4,1.8,4.0,45.5,69.0
39,Bol Bol,ORL,67,21.4,0.9,0.3,1.0,30.4,0.3,0.9,28.6,43.5
40,Bones Hyland,LAC,53,19.3,3.1,1.0,2.8,37.0,1.0,2.7,37.8,55.5
41,Bradley Beal,WAS,50,33.5,3.1,1.1,2.7,41.8,0.9,2.2,40.0,58.2
42,Brandon Boston Jr.,LAC,21,11.7,0.7,0.2,0.8,31.3,0.2,0.7,35.7,46.9
43,Brandon Clarke,MEM,56,19.5,0.9,0.4,0.9,49.0,0.0,0.1,16.7,50.0
44,Brandon Ingram,NOP,42,33.6,4.0,1.5,3.4,43.3,1.1,2.7,42.9,60.3
45,Braxton Key,DET,3,3.0,0.0,0.0,0.0,-,-,-,-,-
46,Brook Lopez,MIL,77,30.3,5.4,1.9,4.9,39.1,1.6,4.2,38.2,55.7
47,Bruce Brown,DEN,78,28.3,3.2,1.1,2.9,37.2,1.1,2.8,37.7,55.5
48,Bruno Fernando,ATL,37,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,44,16.3,1.4,0.5,1.4,33.9,0.5,1.4,35.0,50.8
50,Bryn Forbes,MIN,25,10.7,1.2,0.4,1.4,29.4,0.4,1.3,31.3,44.1
51,Buddy Boeheim,DET,8,9.2,1.5,0.5,2.8,18.2,0.5,2.6,19.0,27.3
52,Buddy Hield,IND,77,31.4,7.5,2.5,6.1,41.0,2.5,6.0,41.2,61.4
53,CJ McCollum,NOP,72,35.1,5.3,1.8,4.6,38.9,1.7,4.2,40.3,57.6
54,Cade Cunningham,DET,12,33.3,2.4,0.8,2.7,31.3,0.8,2.3,33.3,45.3
55,Caleb Houstan,ORL,48,15.0,2.3,0.8,2.5,32.2,0.8,2.3,32.4,47.5
56,Caleb Martin,MIA,68,29.6,3.1,1.1,3.0,35.3,0.9,2.7,33.9,50.2
57,Cam Reddish,POR,40,24.7,2.7,0.9,2.9,31.9,0.9,2.8,31.0,47.0
58,Cam Thomas,BKN,56,16.2,1.0,0.4,0.9,42.9,0.3,0.8,38.1,59.2
59,Cameron Johnson,BKN,40,28.5,6.9,2.3,5.6,41.7,2.2,5.4,41.4,61.7
60,Cameron Payne,PHX,46,20.6,2.4,0.8,2.3,34.6,0.8,2.3,34.0,51.4
61,Caris LeVert,CLE,74,30.2,3.4,1.1,2.9,39.6,1.1,2.9,39.3,59.2
62,Carlik Jones,CHI,4,7.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
63,Cedi Osman,CLE,75,20.1,3.7,1.3,3.4,37.0,1.2,3.3,36.7,55.1
64,Charles Bassey,SAS,35,14.5,0.4,0.2,0.5,36.8,0.0,0.1,20.0,39.5
65,Chima Moneke,SAC,2,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,64,10.3,0.5,0.2,0.6,30.8,0.1,0.5,26.5,42.3
67,Chris Boucher,TOR,73,20.2,2.6,0.9,2.6,34.8,0.8,2.4,33.7,50.5
68,Chris Duarte,IND,46,19.5,2.2,0.8,2.2,34.3,0.7,2.1,33.7,50.5
69,Chris Paul,PHX,58,31.9,2.3,0.8,1.5,52.9,0.7,1.4,51.2,77.0
70,Chris Silva,DAL,1,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,73,15.1,1.1,0.4,1.1,35.9,0.4,1.0,37.0,53.2
72,Christian Koloko,TOR,55,13.9,0.2,0.1,0.4,21.7,0.0,0.2,10.0,23.9
73,Christian Wood,DAL,66,26.0,4.2,1.4,3.5,41.5,1.4,3.3,41.9,61.1
74,Chuma Okeke,ORL,24,17.8,2.4,0.8,2.5,31.7,0.8,2.5,31.7,47.5
75,Clint Capela,ATL,63,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Coby White,CHI,71,23.2,4.5,1.5,3.9,38.8,1.5,3.9,38.3,57.8
77,Cody Martin,CHA,7,19.1,1.6,0.6,1.4,40.0,0.4,1.3,33.3,55.0
78,Cody Zeller,MIA,13,14.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
79,Cole Anthony,ORL,59,25.8,2.7,0.9,2.5,36.9,0.8,2.4,34.3,53.0
80,Cole Swider,LAL,6,6.7,1.5,0.5,1.0,50.0,0.5,1.0,50.0,75.0
81,Collin Sexton,UTA,48,23.9,1.8,0.6,1.7,36.3,0.6,1.6,35.1,53.1
82,Corey Kispert,WAS,71,28.4,6.0,2.0,4.7,43.0,2.0,4.6,42.9,64.0
