,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,30,24,6,9.7,7.9,9.1,0.6,0.1,1.3,1.7,0.8,8.0,9.7,
2,AJ Griffin,ATL,59,28,31,19.9,12.7,14.8,1.0,0.1,1.7,2.5,1.2,8.0,9.2,
3,Aaron Gordon,DEN,54,39,15,30.0,26.4,27.8,2.9,0.4,4.3,7.3,3.5,11.1,13.2,
4,Aaron Holiday,ATL,52,28,24,14.0,15.2,16.2,1.3,0.1,2.9,3.4,1.6,8.2,10.5,
5,Aaron Nesmith,IND,57,24,33,24.4,23.6,19.7,1.2,0.2,2.0,3.2,1.5,5.0,6.2,
6,Aaron Wiggins,OKC,54,28,26,19.1,15.0,14.5,1.3,0.2,2.3,3.5,1.6,8.8,11.0,
7,Admiral Schofield,ORL,31,12,19,11.9,14.4,9.2,0.8,0.0,1.4,2.2,0.9,5.6,6.1,
8,Al Horford,BOS,52,36,16,31.0,37.8,28.2,2.8,0.3,4.8,7.7,3.4,7.4,9.0,
9,Alec Burks,DET,50,12,38,22.0,21.6,24.7,2.2,0.2,3.6,5.3,2.5,10.3,11.5,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,55,23,32,24.1,37.6,29.0,3.1,0.4,4.9,8.1,3.9,8.3,10.5,
12,Alex Len,SAC,16,10,6,3.0,4.3,2.7,0.3,0.0,0.5,0.8,0.3,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,60,12,48,28.3,38.2,36.2,3.8,0.4,6.7,9.8,4.7,10.0,12.2,
16,Amir Coffey,LAC,43,21,22,13.7,10.2,11.3,1.2,0.1,2.2,3.0,1.5,11.6,14.6,
17,Andre Drummond,CHI,53,23,30,12.9,11.8,9.5,0.6,0.0,0.9,1.3,0.6,4.8,5.0,
18,Andre Iguodala,GSW,4,0,4,12.6,20.0,13.8,2.3,0.5,3.0,5.8,2.8,11.3,13.8,
19,Andrew Nembhard,IND,59,26,33,26.7,32.2,35.0,3.9,0.3,7.7,10.4,4.8,12.3,15.0,
20,Andrew Wiggins,GSW,36,18,18,32.3,28.8,33.3,2.3,0.6,4.8,6.3,3.1,8.0,10.9,
21,Anfernee Simons,POR,57,27,30,35.3,46.3,58.2,4.1,1.0,7.4,10.5,5.5,8.9,11.8,
22,Anthony Davis,LAL,41,20,21,33.5,44.3,38.1,2.5,0.3,4.3,6.1,2.9,5.7,6.4,
23,Anthony Edwards,MIN,67,34,33,36.3,45.8,54.3,4.5,0.8,8.0,11.6,5.5,9.8,12.0,
24,Anthony Gill,WAS,44,17,27,10.1,7.1,6.1,0.5,0.0,0.9,1.3,0.6,6.7,8.0,
25,Anthony Lamb,GSW,49,27,22,20.0,26.6,19.8,1.7,0.2,3.6,5.1,2.2,6.5,8.4,
