,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.3,0.1,0.1,75.0,0.1,0.1,100.0,0.3,80.0,0.1,30.0,0.0,10.0,0.0,10.0,0.0,10.0
2,AJ Griffin,ATL,67,31,36,19.3,21.0,0.7,0.3,0.4,74.1,0.0,0.1,75.0,0.6,95.6,0.2,26.7,0.1,8.9,0.0,6.7,0.0,4.4
3,Aaron Gordon,DEN,63,44,19,30.0,41.6,6.7,3.5,4.6,75.9,0.8,1.4,57.8,8.0,119.0,0.9,12.8,0.2,3.6,0.2,3.6,0.7,9.7
4,Aaron Holiday,ATL,58,30,28,13.5,20.4,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,67,28,39,24.8,35.2,1.0,0.4,0.6,60.0,0.1,0.1,100.0,0.8,80.0,0.2,22.9,0.0,4.3,0.1,10.0,0.0,4.3
6,Aaron Wiggins,OKC,64,34,30,18.0,20.4,2.0,0.7,1.2,63.5,0.3,0.3,84.2,1.7,83.8,0.5,26.9,0.2,8.5,0.1,6.2,0.1,6.9
7,Admiral Schofield,ORL,33,13,20,11.7,17.7,0.9,0.3,0.5,61.1,0.0,0.1,50.0,0.7,74.2,0.3,35.5,0.1,12.9,0.0,0.0,0.0,3.2
8,Al Horford,BOS,60,42,18,30.6,45.9,2.8,0.7,1.3,53.2,0.1,0.1,75.0,1.5,53.3,1.1,41.2,0.3,12.1,0.2,5.5,0.0,1.2
9,Alec Burks,DET,50,12,38,22.0,34.6,0.4,0.1,0.2,44.4,0.0,0.0,100.0,0.2,61.1,0.1,33.3,0.0,5.6,0.0,11.1,0.0,5.6
