,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,66,31,35,19.4,21.2,0.5,0.2,0.2,73.3,0.0,0.0,0.0,0.3,76.7,0.2,36.7,0.0,27.3,0.0,6.7,0.0,0.0
3,Aaron Gordon,DEN,62,43,19,30.1,41.7,1.7,0.3,0.6,57.1,0.2,0.3,65.0,0.9,51.9,1.0,54.6,0.2,16.9,0.0,2.8,0.1,8.3
4,Aaron Holiday,ATL,57,30,27,13.7,20.7,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,25.0,0.1,50.0,0.0,25.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,66,28,38,24.6,34.9,0.4,0.2,0.2,78.6,0.0,0.0,0.0,0.3,78.6,0.2,39.3,0.0,9.1,0.0,10.7,0.0,0.0
6,Aaron Wiggins,OKC,62,33,29,18.3,20.7,0.5,0.1,0.2,42.9,0.0,0.0,100.0,0.2,43.8,0.2,43.8,0.0,7.1,0.0,9.4,0.0,3.1
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.3,57.1,0.3,57.1,0.1,37.5,0.0,0.0,0.0,0.0
8,Al Horford,BOS,58,41,17,30.8,46.2,1.1,0.2,0.3,47.4,0.0,0.0,0.0,0.3,28.8,0.8,66.7,0.2,31.8,0.0,3.0,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.2,44.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,59,27,32,23.9,43.8,0.8,0.1,0.2,46.2,0.0,0.0,0.0,0.2,25.5,0.5,63.8,0.1,23.3,0.0,4.3,0.0,0.0
