,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,32,25,7,9.4,1.2,0.4,36.8,2.4,48.7,0.3,54.3,8.1
2,AJ Griffin,ATL,65,30,35,19.4,2.1,0.6,27.0,3.7,57.3,0.2,60.6,8.6
3,Aaron Gordon,DEN,61,42,19,30.1,6.5,2.9,44.7,10.5,62.4,0.5,65.6,5.9
4,Aaron Holiday,ATL,56,29,27,13.7,1.2,0.3,20.3,2.6,47.9,0.2,51.5,10.1
5,Aaron Nesmith,IND,64,28,36,24.8,3.8,1.2,30.5,8.0,47.8,0.7,52.6,6.9
6,Aaron Wiggins,OKC,60,33,27,18.5,3.1,1.3,41.1,5.9,52.6,0.5,57.5,7.4
7,Admiral Schofield,ORL,31,12,19,11.9,1.7,0.7,40.4,4.3,39.4,0.3,42.3,6.5
8,Al Horford,BOS,57,40,17,30.9,6.2,2.1,33.3,10.2,60.2,0.9,66.0,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,58,26,32,24.0,3.0,0.6,19.5,5.6,54.0,0.4,58.6,9.4
12,Alex Len,SAC,18,12,6,3.2,0.9,0.4,41.2,1.7,54.8,0.0,54.8,6.2
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,66,14,52,28.6,8.7,4.1,46.6,15.7,55.8,1.2,60.4,5.2
16,Amir Coffey,LAC,45,23,22,13.2,1.2,0.2,21.2,2.4,49.1,0.2,52.5,10.5
