,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,4.8,1.6,0.5,1.2,46.7,0.5,1.2,46.7,70.0
1,AJ Green,MIL,30,9.7,3.2,1.1,2.3,47.1,1.1,2.3,47.1,70.6
2,AJ Griffin,ATL,60,19.7,3.2,1.1,3.0,36.7,1.0,2.8,35.5,53.7
3,Aaron Gordon,DEN,55,30.1,1.8,0.6,1.7,35.4,0.5,1.5,34.9,50.5
4,Aaron Holiday,ATL,53,13.8,1.4,0.5,1.1,42.4,0.5,1.1,42.4,63.6
5,Aaron Nesmith,IND,59,24.5,3.7,1.2,3.7,33.8,1.2,3.6,33.5,50.2
6,Aaron Wiggins,OKC,55,18.8,1.9,0.6,1.7,37.4,0.6,1.6,37.8,56.0
7,Admiral Schofield,ORL,31,11.9,1.9,0.6,1.7,37.7,0.6,1.7,37.7,56.6
8,Al Horford,BOS,53,31.0,6.6,2.2,5.0,44.4,2.2,4.8,45.1,65.8
9,Alec Burks,DET,51,22.0,3.2,1.1,2.5,43.7,1.0,2.4,43.4,64.7
10,Aleksej Pokusevski,OKC,31,21.9,3.8,1.3,3.3,38.8,1.2,3.1,38.5,56.8
11,Alex Caruso,CHI,57,24.1,2.3,0.8,2.1,38.1,0.8,2.0,37.7,56.4
12,Alex Len,SAC,16,3.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,62,28.3,0.8,0.3,0.8,36.5,0.2,0.5,36.4,48.1
16,Amir Coffey,LAC,44,13.5,0.7,0.3,0.8,32.4,0.2,0.7,29.0,45.6
17,Andre Drummond,CHI,54,12.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,7,13.8,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0
19,Andrew Nembhard,IND,61,26.8,2.8,1.0,2.8,35.1,0.9,2.6,34.2,51.5
20,Andrew Wiggins,GSW,37,32.2,6.6,2.2,5.2,43.0,2.1,5.0,42.5,63.5
21,Anfernee Simons,POR,58,35.2,6.0,2.0,5.0,40.2,2.0,5.0,40.1,60.1
22,Anthony Davis,LAL,42,33.4,2.0,0.8,2.5,30.8,0.4,1.4,29.3,38.8
23,Anthony Edwards,MIN,68,36.4,3.2,1.1,2.6,41.5,1.0,2.5,41.3,61.1
24,Anthony Gill,WAS,44,10.1,0.3,0.1,0.4,22.2,0.1,0.4,17.6,30.6
25,Anthony Lamb,GSW,50,20.1,3.6,1.2,3.2,38.1,1.2,3.1,37.4,56.3
26,Austin Reaves,LAL,49,27.7,3.1,1.0,2.6,40.2,1.0,2.5,39.0,59.1
27,Austin Rivers,MIN,50,20.1,2.2,0.7,2.0,36.6,0.7,2.0,36.6,55.0
28,Ayo Dosunmu,CHI,65,27.1,2.2,0.8,2.3,32.2,0.7,2.3,31.5,47.7
29,Bam Adebayo,MIA,64,35.1,1.8,0.9,2.0,44.5,0.0,0.1,12.5,44.9
30,Ben Simmons,BKN,42,26.3,0.1,0.0,0.1,40.0,0.0,0.0,-,40.0
31,Bennedict Mathurin,IND,67,27.8,2.2,0.8,2.6,29.5,0.7,2.4,29.6,43.4
32,Bismack Biyombo,PHX,48,13.6,0.1,0.1,0.2,33.3,-,-,-,33.3
33,Blake Griffin,BOS,30,14.4,1.8,0.6,1.5,40.0,0.6,1.5,40.9,60.0
34,Blake Wesley,SAS,21,15.1,1.7,0.6,1.1,50.0,0.6,1.1,50.0,75.0
35,Boban Marjanovic,HOU,24,4.8,0.1,0.0,0.1,33.3,0.0,0.0,0.0,33.3
36,Bobby Portis,MIL,56,26.1,4.1,1.5,3.8,39.3,1.1,3.3,35.2,54.2
37,Bogdan Bogdanovic,ATL,42,28.7,6.3,2.2,5.3,41.9,1.9,4.8,39.5,59.7
38,Bojan Bogdanovic,DET,59,32.1,5.8,2.0,4.2,47.4,1.8,4.0,45.5,69.0
39,Bol Bol,ORL,63,22.0,1.0,0.3,1.0,32.3,0.3,0.9,30.5,46.2
40,Bones Hyland,LAC,47,19.0,2.9,1.0,2.6,36.9,1.0,2.5,37.8,55.3
41,Bradley Beal,WAS,45,33.6,3.4,1.2,2.8,43.0,1.0,2.3,41.0,59.8
42,Brandon Boston Jr.,LAC,21,11.7,0.7,0.2,0.8,31.3,0.2,0.7,35.7,46.9
43,Brandon Clarke,MEM,56,19.5,0.9,0.4,0.9,49.0,0.0,0.1,16.7,50.0
44,Brandon Ingram,NOP,31,32.7,4.1,1.5,3.5,42.6,1.2,2.8,40.9,59.3
45,Braxton Key,DET,3,3.0,0.0,0.0,0.0,-,-,-,-,-
46,Brook Lopez,MIL,66,30.5,5.5,1.9,4.9,39.1,1.7,4.3,39.2,56.3
47,Bruce Brown,DEN,66,28.3,3.5,1.2,3.0,38.3,1.2,3.0,38.8,57.2
48,Bruno Fernando,ATL,33,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,33,14.7,1.2,0.4,1.2,34.2,0.4,1.1,36.1,51.3
50,Bryn Forbes,MIN,25,10.7,1.2,0.4,1.4,29.4,0.4,1.3,31.3,44.1
51,Buddy Boeheim,DET,2,3.4,1.5,0.5,1.5,33.3,0.5,1.5,33.3,50.0
52,Buddy Hield,IND,68,31.8,7.8,2.6,6.2,41.7,2.6,6.1,41.9,62.4
