,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,67,31,36,19.3,21.0,0.4,0.2,0.2,73.3,0.0,0.0,0.0,0.3,76.7,0.2,36.7,0.0,27.3,0.0,6.7,0.0,0.0
3,Aaron Gordon,DEN,63,44,19,30.0,41.6,1.7,0.3,0.6,56.8,0.2,0.3,65.0,0.9,52.7,0.9,53.6,0.2,16.9,0.0,2.7,0.1,8.2
4,Aaron Holiday,ATL,58,30,28,13.5,20.4,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,25.0,0.1,50.0,0.0,25.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,67,28,39,24.8,35.2,0.4,0.2,0.2,78.6,0.0,0.0,0.0,0.3,75.9,0.2,41.4,0.0,8.3,0.0,10.3,0.0,0.0
6,Aaron Wiggins,OKC,64,34,30,18.0,20.4,0.5,0.1,0.2,40.0,0.0,0.0,100.0,0.2,42.4,0.2,42.4,0.0,7.1,0.0,9.1,0.0,3.0
7,Admiral Schofield,ORL,33,13,20,11.7,17.7,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.2,53.3,0.3,60.0,0.1,33.3,0.0,0.0,0.0,0.0
8,Al Horford,BOS,60,42,18,30.6,45.9,1.2,0.2,0.3,45.0,0.0,0.0,0.0,0.3,27.1,0.8,67.1,0.2,29.8,0.0,2.9,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.2,44.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,32,15,17,21.5,43.6,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,60,28,32,24.0,43.9,0.8,0.1,0.2,46.2,0.0,0.0,100.0,0.2,29.2,0.5,62.5,0.1,23.3,0.0,4.2,0.0,2.1
