,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,27,21,6,9.8,1.1,0.4,34.5,2.4,45.3,0.1,48.3,7.9
2,AJ Griffin,ATL,57,27,30,20.2,2.1,0.5,24.8,3.7,55.7,0.2,58.8,8.7
3,Aaron Gordon,DEN,50,36,14,30.2,6.8,3.1,45.0,11.0,62.4,0.6,65.9,5.8
4,Aaron Holiday,ATL,51,27,24,14.3,1.3,0.3,21.2,2.7,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,55,23,32,24.6,3.8,1.1,30.4,8.0,47.0,0.7,51.6,6.8
6,Aaron Wiggins,OKC,48,25,23,18.5,3.1,1.3,42.3,5.8,53.6,0.5,58.2,7.4
7,Admiral Schofield,ORL,28,11,17,12.6,1.9,0.8,40.4,4.6,40.3,0.3,43.3,6.5
8,Al Horford,BOS,48,34,14,30.7,6.1,2.0,33.4,10.3,59.2,0.9,65.0,6.4
9,Alec Burks,DET,48,12,36,22.1,3.0,0.8,25.5,5.1,59.7,0.2,62.5,7.8
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,50,21,29,24.3,3.1,0.6,19.1,5.8,54.1,0.5,59.0,9.4
12,Alex Len,SAC,14,9,5,3.4,1.1,0.4,40.0,1.9,55.6,0.0,55.6,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,55,10,45,28.1,8.8,4.1,46.4,16.0,55.0,1.2,59.5,5.2
16,Amir Coffey,LAC,41,21,20,13.9,1.2,0.3,21.6,2.6,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,48,21,27,13.0,6.7,3.7,54.5,9.8,68.6,0.5,72.1,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,55,24,31,27.0,2.7,0.5,19.5,5.0,54.4,0.4,59.4,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,56,27,29,35.5,2.7,0.6,20.7,4.9,54.3,0.4,59.8,9.4
22,Anthony Davis,LAL,37,18,19,33.3,12.4,7.0,56.3,19.8,62.5,1.4,67.4,4.4
23,Anthony Edwards,MIN,63,31,32,36.3,5.9,1.3,21.2,10.2,58.0,0.7,62.5,6.9
24,Anthony Gill,WAS,42,17,25,10.0,1.4,0.5,37.9,2.8,49.6,0.2,54.2,6.0
25,Anthony Lamb,GSW,45,24,21,19.6,3.4,1.3,37.9,7.2,47.5,0.7,52.4,6.5
26,Austin Reaves,LAL,43,21,22,27.7,3.0,0.4,15.0,5.8,50.8,0.6,57.0,9.0
27,Austin Rivers,MIN,48,23,25,20.7,1.7,0.2,13.6,3.1,53.6,0.2,57.9,9.6
28,Ayo Dosunmu,CHI,58,27,31,28.3,3.1,0.7,21.1,5.8,53.7,0.6,60.4,10.4
29,Bam Adebayo,MIA,57,30,27,35.0,9.8,4.3,43.5,16.5,59.3,1.0,63.3,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,62,27,35,28.3,4.1,1.2,29.4,8.0,51.2,0.6,55.1,8.4
32,Bismack Biyombo,PHX,46,25,21,13.9,4.1,1.8,43.3,7.8,52.4,0.6,56.7,5.0
33,Blake Griffin,BOS,27,17,10,14.1,3.3,1.6,46.7,6.0,55.6,0.5,60.8,5.2
34,Blake Wesley,SAS,16,2,14,14.4,1.6,0.3,20.0,3.3,48.1,0.1,49.0,7.0
35,Boban Marjanovic,HOU,20,1,19,4.5,1.6,0.7,43.8,2.8,58.2,0.2,62.7,3.6
36,Bobby Portis,MIL,49,32,17,26.5,10.0,3.6,35.9,16.1,62.1,1.1,66.6,5.1
37,Bogdan Bogdanovic,ATL,36,18,18,29.6,3.4,0.6,18.0,5.9,57.3,0.6,63.2,8.0
38,Bojan Bogdanovic,DET,57,15,42,31.9,3.7,0.7,18.9,7.0,53.4,0.4,57.0,8.9
39,Bol Bol,ORL,57,23,34,22.9,6.1,1.7,27.5,8.8,69.0,0.5,73.1,5.4
40,Bones Hyland,LAC,45,30,15,19.3,2.1,0.5,22.1,4.1,51.9,0.3,55.9,8.6
41,Bradley Beal,WAS,38,20,18,33.0,3.6,1.0,27.2,6.7,53.8,0.4,57.4,8.4
42,Brandon Boston Jr.,LAC,21,8,13,11.7,1.4,0.4,31.0,2.8,49.2,0.1,51.8,7.7
43,Brandon Clarke,MEM,53,30,23,19.9,5.6,2.7,47.5,11.0,51.0,0.7,54.5,5.2
44,Brandon Ingram,NOP,27,12,15,32.7,5.0,1.3,25.0,8.4,59.6,0.6,64.5,7.2
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,59,42,17,30.4,6.6,3.4,51.4,12.0,55.1,1.0,60.2,6.3
47,Bruce Brown,DEN,61,43,18,28.6,3.9,1.0,26.9,7.4,52.7,0.6,57.1,7.1
48,Bruno Fernando,ATL,33,10,23,11.2,3.8,1.5,41.1,7.8,48.2,0.5,51.9,4.9
49,Bryce McGowens,CHA,27,9,18,14.3,1.7,0.4,24.4,2.8,60.0,0.1,61.6,8.6
50,Bryn Forbes,MIN,25,9,16,10.7,0.6,0.2,33.3,1.2,50.0,0.0,51.7,11.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,62,27,35,32.1,4.9,0.9,17.4,9.3,53.0,0.9,58.5,8.3
53,CJ McCollum,NOP,55,26,29,35.0,4.3,0.6,15.0,7.2,58.8,0.4,61.9,10.0
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
55,Caleb Houstan,ORL,34,12,22,16.1,2.2,0.7,31.6,4.5,49.7,0.4,54.3,8.1
56,Caleb Martin,MIA,52,27,25,30.1,5.2,1.3,25.4,9.3,55.1,0.9,60.8,8.2
57,Cam Reddish,POR,25,11,14,22.9,1.7,0.4,25.6,3.6,47.3,0.4,53.1,10.6
58,Cam Thomas,BKN,43,25,18,17.2,1.7,0.3,18.1,3.8,44.4,0.4,50.3,7.8
59,Cameron Johnson,BKN,22,14,8,26.1,3.7,1.0,25.9,6.5,56.6,0.5,61.4,7.5
60,Cameron Payne,PHX,30,16,14,23.2,2.4,0.3,12.7,4.6,51.1,0.4,55.5,9.6
61,Caris LeVert,CLE,58,34,24,30.0,3.9,1.0,24.9,6.3,61.5,0.5,66.6,8.2
62,Carlik Jones,CHI,1,0,1,21.7,3.0,2.0,66.7,4.0,75.0,0.0,75.0,9.0
63,Cedi Osman,CLE,60,37,23,21.0,2.3,0.5,21.3,4.2,54.0,0.4,59.6,8.4
64,Charles Bassey,SAS,28,5,23,13.9,5.5,1.9,35.1,9.0,60.9,0.8,66.4,4.9
65,Chima Moneke,SAC,2,1,1,4.0,1.0,0.0,0.0,2.0,50.0,0.0,50.0,11.2
66,Chimezie Metu,SAC,47,28,19,11.1,3.2,1.2,38.3,5.3,59.6,0.3,63.1,4.5
67,Chris Boucher,TOR,56,28,28,20.8,5.9,2.8,47.9,10.1,58.1,0.6,61.9,4.3
68,Chris Duarte,IND,38,15,23,19.1,2.4,0.5,19.4,5.1,48.4,0.5,53.8,7.8
69,Chris Paul,PHX,41,21,20,32.2,4.2,0.7,16.3,6.8,61.9,0.4,65.9,9.2
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,Christian Braun,DEN,57,40,17,15.2,2.4,0.7,28.4,4.2,56.3,0.3,60.4,7.6
72,Christian Koloko,TOR,46,21,25,14.4,3.2,1.8,56.5,7.1,45.0,0.6,48.8,5.3
73,Christian Wood,DAL,50,27,23,27.4,8.0,3.2,40.5,12.5,63.8,0.9,68.6,4.9
74,Chuma Okeke,ORL,19,5,14,21.3,4.1,1.3,30.8,6.9,59.1,0.4,62.9,8.0
75,Clint Capela,ATL,45,25,20,26.6,11.2,5.8,52.0,17.2,64.9,0.7,67.7,4.5
76,Coby White,CHI,52,24,28,22.5,2.8,0.7,25.0,5.2,53.3,0.4,57.6,8.3
77,Cody Martin,CHA,7,2,5,19.1,3.4,1.3,37.5,5.1,66.7,0.3,70.6,10.0
78,Cody Zeller,MIA,3,1,2,15.6,2.7,1.3,50.0,7.0,38.1,1.0,44.4,4.7
79,Cole Anthony,ORL,42,20,22,24.7,4.5,0.8,18.4,7.7,59.0,0.7,65.3,7.6
80,Cole Swider,LAL,6,1,5,6.7,1.2,0.8,71.4,2.0,58.3,0.0,58.3,4.0
81,Collin Sexton,UTA,47,24,23,24.0,2.2,0.5,24.0,4.3,51.0,0.3,54.5,10.1
82,Corey Kispert,WAS,52,24,28,27.0,2.7,0.7,25.9,5.0,53.3,0.3,57.2,8.7
83,Cory Joseph,DET,43,10,33,16.0,1.3,0.3,25.0,3.5,37.3,0.4,42.4,10.3
84,D'Angelo Russell,LAL,58,30,28,32.4,3.1,0.7,21.2,6.2,50.1,0.7,56.5,10.1
85,Daishen Nix,HOU,43,11,32,16.0,1.7,0.4,24.3,3.2,54.0,0.3,58.7,8.5
86,Dalano Banton,TOR,27,14,13,9.3,1.3,0.4,30.6,2.7,48.6,0.2,52.2,6.8
87,Dalen Terry,CHI,24,12,12,5.2,0.7,0.2,29.4,2.0,36.2,0.2,39.5,7.9
88,Damian Jones,UTA,24,7,17,8.2,2.6,1.0,40.3,4.6,56.4,0.3,59.6,6.9
89,Damian Lillard,POR,47,24,23,36.2,4.3,0.9,20.6,8.6,50.5,0.7,55.1,9.5
90,Damion Lee,PHX,62,33,29,21.8,3.2,0.6,19.9,5.4,58.2,0.5,63.4,7.7
91,Daniel Gafford,WAS,58,26,32,18.8,5.3,2.6,47.9,10.9,48.7,0.8,52.6,4.2
92,Daniel Theis,IND,7,1,6,15.5,3.1,1.7,54.5,7.7,40.7,0.6,44.0,4.0
93,Danny Green,CLE,6,2,4,11.9,0.8,0.3,40.0,3.0,27.8,0.0,27.8,5.8
94,Danuel House Jr.,PHI,37,24,13,14.8,1.8,0.2,10.8,3.1,56.0,0.2,59.1,7.1
95,Dario Saric,OKC,41,18,23,14.1,3.7,1.4,37.9,6.7,55.6,0.4,58.8,5.1
96,Darius Bazley,PHX,36,16,20,15.4,3.4,1.1,32.8,6.4,52.8,0.5,57.3,5.9
97,Darius Days,HOU,4,0,4,6.2,1.5,0.3,16.7,3.0,50.0,0.0,50.0,4.7
98,Darius Garland,CLE,54,29,25,35.1,2.6,0.4,13.3,5.6,47.5,0.4,50.9,11.9
99,David Duke Jr.,BKN,16,7,9,8.8,0.9,0.1,6.7,2.3,40.5,0.3,45.5,12.1
100,David Roddy,MEM,48,30,18,17.4,2.6,0.7,27.8,4.6,56.8,0.4,61.8,6.7
101,Davion Mitchell,SAC,59,34,25,17.8,1.3,0.2,15.4,2.7,48.1,0.2,52.7,10.0
102,Davis Bertans,DAL,34,17,17,10.6,0.9,0.3,28.1,2.2,42.1,0.2,47.1,6.9
103,Davon Reed,LAL,38,25,13,8.8,1.5,0.3,22.4,2.6,58.0,0.3,65.9,7.6
104,Day'Ron Sharpe,BKN,33,16,17,10.4,3.8,2.1,54.0,7.5,51.2,0.4,54.1,4.3
105,De'Aaron Fox,SAC,55,34,21,34.1,4.3,0.9,20.5,7.4,57.6,0.5,61.9,8.7
106,De'Andre Hunter,ATL,51,29,22,31.7,4.3,1.2,28.5,8.0,54.4,0.8,60.2,7.6
107,De'Anthony Melton,PHI,57,37,20,28.2,4.1,1.3,31.0,7.4,55.2,0.7,61.2,7.7
108,DeAndre Jordan,DEN,34,21,13,14.6,4.9,2.0,41.3,8.1,60.9,0.6,65.5,4.4
109,DeMar DeRozan,CHI,54,26,28,36.1,4.5,0.9,20.1,8.3,54.5,0.9,60.7,8.7
110,Dean Wade,CLE,34,23,11,21.0,3.7,1.0,27.8,6.6,56.3,0.6,61.5,6.7
111,Deandre Ayton,PHX,53,25,28,30.3,10.1,4.2,41.7,15.6,64.9,1.2,70.1,4.6
112,Dejounte Murray,ATL,56,29,27,36.4,5.5,1.4,25.6,9.9,55.6,0.9,61.4,7.3
113,Delon Wright,WAS,31,19,12,22.6,3.2,0.7,23.0,5.5,58.8,0.4,63.7,10.3
114,Deni Avdija,WAS,58,27,31,26.3,6.2,1.9,30.5,10.7,58.0,1.1,64.7,5.0
115,Dennis Schroder,LAL,48,25,23,30.0,2.5,0.3,10.9,4.8,52.0,0.4,56.7,10.9
116,Dennis Smith Jr.,CHA,41,14,27,25.3,2.7,0.7,26.8,5.9,46.7,0.7,53.1,8.3
117,Deonte Burton,SAC,2,1,1,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,Dereon Seabron,NOP,5,2,3,2.3,0.2,0.2,100.0,1.4,14.3,0.2,16.7,1.8
119,Derrick Jones Jr.,CHI,47,19,28,14.7,2.5,1.4,55.5,4.8,52.4,0.3,55.9,5.6
120,Derrick Rose,NYK,27,12,15,12.5,1.5,0.3,20.0,2.9,51.9,0.1,54.1,10.4
121,Derrick White,BOS,62,44,18,27.7,3.3,0.9,27.7,6.2,53.9,0.6,60.2,8.2
122,Desmond Bane,MEM,37,23,14,31.1,5.0,1.0,20.1,8.5,58.6,0.6,63.0,8.1
123,Devin Booker,PHX,35,22,13,34.1,4.6,0.8,17.5,8.1,56.7,0.5,60.4,8.4
124,Devin Vassell,SAS,29,8,21,31.3,4.0,1.1,27.0,6.8,58.7,0.5,63.5,6.6
125,Devon Dotson,WAS,6,1,5,8.8,1.7,0.5,30.0,2.8,58.8,0.0,58.8,13.2
126,Devonte' Graham,SAS,59,27,32,16.6,1.5,0.3,17.2,2.9,50.9,0.3,56.1,10.8
127,Dewayne Dedmon,PHI,30,17,13,11.7,3.6,1.7,45.9,7.0,51.7,0.7,57.4,5.0
128,Dillon Brooks,MEM,54,33,21,30.4,3.3,0.7,20.8,6.1,53.9,0.4,58.2,8.8
