trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.29,0.25,0.17,0.27,0.14,0.45,0.25,0.84,0.72,0.49,0.78,0.4,1.0,0.99,0.87,0.99,0.86,1.0,1.0,1.0,0.9,0.75,0.96,0.56
Luka Doncic,0.28,0.23,0.37,0.31,0.2,0.41,0.26,0.77,0.62,1.01,0.85,0.54,1.0,0.98,0.99,1.0,0.97,0.99,1.0,0.99,0.84,0.99,0.97,0.8
Damian Lillard,0.28,0.12,0.31,0.25,0.13,0.37,0.25,0.76,0.32,0.85,0.68,0.35,1.0,0.81,0.98,0.98,0.82,0.99,1.0,0.99,0.41,0.96,0.93,0.42
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.21,0.46,0.22,0.76,0.31,0.64,0.61,0.6,0.99,0.77,0.95,0.95,0.98,1.0,0.98,0.99,0.38,0.88,0.87,0.87
Giannis Antetokounmpo,0.26,0.23,0.22,0.28,0.12,0.52,0.22,0.81,0.74,0.71,0.86,0.36,0.99,0.98,0.93,1.0,0.78,1.0,0.98,0.99,0.91,0.92,0.98,0.45
Kevin Durant,0.26,0.17,0.2,0.25,0.1,0.35,0.22,0.72,0.47,0.55,0.71,0.29,0.99,0.92,0.91,0.98,0.67,0.99,0.98,0.99,0.7,0.81,0.94,0.3
Jayson Tatum,0.25,0.2,0.18,0.23,0.15,0.38,0.24,0.68,0.53,0.48,0.63,0.42,0.99,0.95,0.89,0.97,0.9,0.99,0.99,0.97,0.76,0.74,0.89,0.6
Donovan Mitchell,0.25,0.1,0.18,0.21,0.2,0.22,0.24,0.68,0.28,0.51,0.57,0.56,0.99,0.72,0.89,0.94,0.97,0.93,0.99,0.97,0.28,0.77,0.83,0.83
LeBron James,0.25,0.19,0.26,0.23,0.14,0.25,0.25,0.7,0.52,0.73,0.64,0.38,0.99,0.94,0.96,0.97,0.86,0.95,1.0,0.98,0.75,0.92,0.9,0.5
Stephen Curry,0.25,0.14,0.2,0.21,0.13,0.26,0.22,0.7,0.41,0.58,0.59,0.38,0.99,0.87,0.91,0.94,0.82,0.96,0.98,0.98,0.59,0.83,0.85,0.5
