trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.3,0.25,0.17,0.27,0.13,0.45,0.25,0.85,0.73,0.5,0.78,0.38,1.0,0.99,0.87,0.99,0.83,1.0,1.0,1.0,0.91,0.76,0.96,0.52
Damian Lillard,0.28,0.12,0.31,0.25,0.13,0.37,0.25,0.76,0.32,0.85,0.68,0.35,1.0,0.82,0.98,0.98,0.83,0.99,1.0,0.99,0.4,0.96,0.92,0.42
Luka Doncic,0.28,0.23,0.37,0.31,0.2,0.4,0.26,0.76,0.63,0.99,0.84,0.54,1.0,0.98,0.99,1.0,0.97,0.99,1.0,0.99,0.84,0.99,0.97,0.8
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.21,0.46,0.22,0.76,0.3,0.64,0.62,0.59,0.99,0.77,0.94,0.95,0.99,1.0,0.98,0.99,0.33,0.87,0.87,0.86
Kevin Durant,0.26,0.17,0.19,0.25,0.09,0.34,0.22,0.72,0.47,0.54,0.7,0.27,0.99,0.92,0.9,0.98,0.6,0.98,0.98,0.99,0.69,0.8,0.94,0.27
Giannis Antetokounmpo,0.26,0.23,0.22,0.28,0.13,0.51,0.22,0.81,0.75,0.72,0.87,0.41,0.99,0.98,0.93,1.0,0.83,1.0,0.98,1.0,0.91,0.91,0.98,0.58
Stephen Curry,0.25,0.14,0.21,0.21,0.13,0.25,0.23,0.7,0.41,0.59,0.58,0.38,0.99,0.87,0.92,0.94,0.83,0.96,0.99,0.99,0.59,0.83,0.83,0.52
Donovan Mitchell,0.25,0.1,0.18,0.21,0.2,0.23,0.24,0.69,0.29,0.5,0.58,0.56,0.99,0.72,0.89,0.94,0.97,0.94,0.99,0.98,0.31,0.76,0.83,0.83
LeBron James,0.25,0.18,0.26,0.23,0.13,0.24,0.25,0.69,0.52,0.73,0.66,0.37,0.99,0.93,0.96,0.97,0.83,0.95,1.0,0.98,0.75,0.92,0.9,0.48
Jayson Tatum,0.25,0.2,0.18,0.23,0.16,0.38,0.24,0.69,0.53,0.48,0.62,0.43,0.99,0.95,0.89,0.97,0.92,0.99,0.99,0.98,0.76,0.74,0.87,0.62
Devin Booker,0.24,0.11,0.2,0.23,0.13,0.32,0.22,0.69,0.31,0.57,0.64,0.35,0.98,0.77,0.91,0.97,0.83,0.98,0.98,0.98,0.37,0.82,0.89,0.42
Jaylen Brown,0.23,0.15,0.13,0.22,0.17,0.24,0.23,0.64,0.41,0.37,0.63,0.47,0.98,0.89,0.81,0.95,0.93,0.95,0.99,0.97,0.59,0.61,0.88,0.71
Anthony Davis,0.23,0.26,0.11,0.15,0.16,0.29,0.19,0.66,0.78,0.33,0.45,0.46,0.98,0.99,0.76,0.86,0.92,0.97,0.93,0.97,0.93,0.56,0.65,0.69
Kyrie Irving,0.23,0.13,0.22,0.17,0.18,0.22,0.24,0.63,0.34,0.57,0.47,0.47,0.98,0.85,0.93,0.9,0.94,0.93,0.99,0.96,0.45,0.82,0.69,0.71
Ja Morant,0.23,0.12,0.32,0.26,0.15,0.33,0.22,0.7,0.39,0.98,0.81,0.45,0.98,0.82,0.99,0.99,0.9,0.98,0.98,0.99,0.56,0.99,0.97,0.67
Zion Williamson,0.22,0.15,0.18,0.22,0.13,0.33,0.18,0.67,0.45,0.54,0.66,0.41,0.97,0.89,0.89,0.95,0.83,0.98,0.91,0.97,0.67,0.8,0.9,0.58
Lauri Markkanen,0.22,0.19,0.07,0.13,0.1,0.24,0.19,0.63,0.54,0.22,0.38,0.29,0.97,0.94,0.62,0.82,0.67,0.95,0.93,0.96,0.77,0.31,0.51,0.31
Brandon Ingram,0.22,0.12,0.21,0.24,0.07,0.27,0.21,0.65,0.36,0.63,0.72,0.23,0.97,0.82,0.92,0.98,0.46,0.97,0.96,0.97,0.5,0.86,0.94,0.2
DeMar DeRozan,0.22,0.11,0.21,0.15,0.15,0.33,0.2,0.59,0.31,0.58,0.42,0.4,0.97,0.77,0.92,0.86,0.9,0.98,0.95,0.94,0.37,0.83,0.59,0.56
Zach LaVine,0.22,0.11,0.18,0.2,0.12,0.26,0.21,0.62,0.29,0.49,0.54,0.35,0.97,0.77,0.89,0.93,0.78,0.96,0.96,0.96,0.31,0.75,0.78,0.42
Julius Randle,0.22,0.21,0.18,0.23,0.11,0.27,0.21,0.61,0.6,0.51,0.66,0.3,0.97,0.96,0.89,0.97,0.73,0.97,0.96,0.95,0.82,0.77,0.9,0.33
Pascal Siakam,0.22,0.19,0.25,0.22,0.09,0.29,0.21,0.58,0.5,0.68,0.6,0.24,0.97,0.94,0.96,0.95,0.6,0.97,0.96,0.93,0.73,0.9,0.85,0.22
Trae Young,0.22,0.07,0.4,0.32,0.16,0.38,0.21,0.64,0.2,1.16,0.94,0.48,0.97,0.51,1.0,1.0,0.92,0.99,0.96,0.97,0.09,1.0,0.98,0.72
Paul George,0.21,0.14,0.22,0.23,0.22,0.22,0.21,0.6,0.41,0.63,0.64,0.64,0.95,0.87,0.93,0.97,0.99,0.93,0.96,0.95,0.59,0.86,0.89,0.9
De'Aaron Fox,0.21,0.1,0.22,0.2,0.15,0.24,0.21,0.61,0.29,0.65,0.63,0.44,0.95,0.72,0.93,0.93,0.9,0.95,0.96,0.95,0.31,0.88,0.88,0.65
Jimmy Butler,0.21,0.15,0.22,0.13,0.21,0.35,0.16,0.62,0.45,0.66,0.38,0.62,0.95,0.89,0.93,0.82,0.99,0.99,0.88,0.96,0.67,0.89,0.51,0.89
Anthony Edwards,0.21,0.14,0.17,0.22,0.2,0.22,0.22,0.59,0.38,0.49,0.61,0.53,0.95,0.87,0.87,0.95,0.97,0.93,0.98,0.94,0.54,0.75,0.86,0.8
Nikola Jokic,0.21,0.28,0.33,0.26,0.17,0.27,0.17,0.62,0.81,0.97,0.77,0.52,0.95,1.0,0.99,0.99,0.93,0.97,0.89,0.96,0.94,0.98,0.96,0.79
Kristaps Porzingis,0.2,0.19,0.1,0.16,0.12,0.29,0.18,0.63,0.59,0.31,0.5,0.37,0.94,0.94,0.73,0.88,0.78,0.97,0.91,0.96,0.81,0.52,0.74,0.48
Kawhi Leonard,0.2,0.15,0.16,0.13,0.2,0.22,0.19,0.59,0.44,0.5,0.39,0.58,0.94,0.89,0.86,0.82,0.97,0.93,0.93,0.94,0.65,0.76,0.53,0.85
Jalen Brunson,0.2,0.08,0.27,0.17,0.14,0.22,0.19,0.58,0.22,0.79,0.5,0.42,0.94,0.59,0.97,0.9,0.87,0.93,0.93,0.93,0.12,0.94,0.74,0.6
Jalen Green,0.2,0.08,0.16,0.17,0.1,0.24,0.2,0.58,0.24,0.48,0.49,0.29,0.94,0.59,0.86,0.9,0.67,0.95,0.95,0.93,0.16,0.74,0.73,0.31
LaMelo Ball,0.2,0.14,0.33,0.27,0.15,0.13,0.22,0.57,0.4,0.93,0.79,0.41,0.94,0.87,0.99,0.99,0.9,0.83,0.98,0.92,0.57,0.98,0.96,0.58
Bradley Beal,0.2,0.09,0.21,0.23,0.14,0.21,0.2,0.6,0.28,0.63,0.68,0.41,0.94,0.66,0.92,0.97,0.87,0.92,0.95,0.95,0.28,0.86,0.92,0.58
Tyler Herro,0.19,0.13,0.18,0.19,0.09,0.11,0.2,0.52,0.38,0.51,0.52,0.27,0.93,0.85,0.89,0.92,0.6,0.78,0.95,0.88,0.54,0.77,0.77,0.27
