,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
21,Anfernee Simons,POR,23,15.2,23.6,64.2,2.9,6.5,44.3,2.0,4.7,41.3,1.8,4.1,43.5,3.3,9.0,36.7,5.4,15.0,36.4
22,Anthony Davis,LAL,30,12.9,20.4,63.1,3.2,7.6,42.5,2.7,6.2,43.7,2.2,4.9,44.4,3.6,9.5,37.7,5.3,16.1,32.9
23,Anthony Edwards,MIN,21,14.3,22.8,62.9,3.1,7.3,43.0,2.6,6.0,43.2,1.4,3.9,37.1,4.0,11.2,35.9,5.3,14.5,36.4
24,Anthony Gill,WAS,30,3.9,6.1,64.1,1.3,2.8,46.0,0.6,1.3,47.6,0.5,1.4,35.2,1.0,2.7,38.0,1.9,5.0,37.8
25,Anthony Lamb,GSW,25,6.2,9.3,67.0,2.8,5.9,47.1,1.1,2.8,41.4,1.0,2.4,40.7,2.1,5.3,39.4,3.3,9.5,35.2
26,Austin Reaves,LAL,24,11.2,18.0,62.5,2.9,6.6,44.7,2.2,4.9,44.6,1.9,4.1,45.5,3.0,7.8,38.8,4.4,14.1,31.6
27,Austin Rivers,MIN,30,8.5,12.8,66.1,1.8,4.2,42.3,1.6,3.3,48.5,0.7,1.8,36.4,2.4,6.8,35.3,2.9,7.3,39.7
28,Ayo Dosunmu,CHI,23,10.6,16.3,65.4,1.9,5.0,38.3,1.3,3.1,40.3,1.1,2.7,41.4,2.9,8.3,35.0,4.5,12.3,37.0
29,Bam Adebayo,MIA,25,11.8,17.4,67.7,3.8,7.5,50.7,2.2,5.2,42.5,1.4,3.3,41.0,3.9,10.3,38.0,5.5,15.8,34.7
30,Ben Simmons,BKN,26,10.5,17.6,59.5,2.3,5.8,39.2,1.5,3.8,39.1,1.0,2.9,35.2,3.0,7.8,39.3,3.9,11.3,34.8
31,Bennedict Mathurin,IND,20,12.7,20.2,63.0,2.4,5.2,45.3,1.6,3.8,42.3,1.2,2.9,40.2,2.9,7.5,38.0,4.3,11.9,36.3
32,Bismack Biyombo,PHX,30,4.8,8.4,56.6,1.6,3.8,42.0,0.9,2.5,38.1,0.8,1.9,40.2,1.4,3.3,42.5,2.2,6.2,35.5
33,Blake Griffin,BOS,34,4.4,7.0,63.3,1.6,3.3,47.0,1.0,2.4,39.2,1.4,2.3,60.9,1.2,3.2,38.0,2.2,6.4,33.5
34,Blake Wesley,SAS,20,7.4,11.8,62.6,1.6,3.5,44.4,1.5,2.6,56.0,0.8,1.7,48.3,1.9,4.5,41.2,2.7,7.8,35.3
35,Boban Marjanovic,HOU,34,1.7,2.4,71.8,0.3,0.8,31.8,0.5,1.0,48.1,0.4,0.6,61.5,0.5,1.8,29.5,0.9,3.1,30.1
36,Bobby Portis,MIL,28,9.4,14.8,63.1,2.4,5.9,41.6,2.5,5.9,42.6,1.9,4.2,44.2,2.2,5.9,36.6,4.6,12.8,35.9
37,Bogdan Bogdanovic,ATL,30,12.0,18.9,63.4,1.9,4.6,41.9,1.8,4.2,43.8,1.5,2.9,52.2,3.8,9.3,40.7,3.9,11.7,33.0
38,Bojan Bogdanovic,DET,33,14.8,22.1,66.7,2.8,6.6,42.9,1.8,4.5,41.4,1.4,3.4,42.7,3.6,8.9,40.2,4.9,13.5,36.3
39,Bol Bol,ORL,23,8.4,12.0,70.5,1.5,3.9,38.7,1.2,3.0,40.5,1.0,2.1,45.8,2.7,6.8,39.5,3.6,11.0,33.1
40,Bones Hyland,LAC,22,8.5,12.1,70.3,1.6,4.0,40.1,1.0,2.4,41.6,1.0,2.0,48.6,2.1,5.6,37.3,3.4,8.7,38.9
41,Bradley Beal,WAS,29,12.9,19.5,66.1,3.1,8.3,37.0,2.6,5.8,45.4,1.7,4.3,40.5,2.6,7.5,34.2,5.9,15.4,38.1
42,Brandon Boston Jr.,LAC,21,4.9,7.4,66.0,1.3,3.1,43.1,0.8,1.6,51.6,0.8,2.1,39.4,1.1,3.2,34.5,2.4,5.3,44.3
43,Brandon Clarke,MEM,26,7.1,12.2,58.7,1.5,4.1,37.4,0.9,2.6,34.0,0.8,1.7,47.8,2.3,5.9,38.5,3.4,10.0,34.0
44,Brandon Ingram,NOP,25,12.7,18.7,67.9,3.2,7.3,44.1,1.5,4.1,37.4,1.8,4.0,44.0,3.3,9.2,36.0,5.9,16.9,34.7
45,Braxton Key,DET,26,1.3,1.3,100.0,0.5,0.5,100,0.0,1.0,0.0,-,-,-,0.7,1.3,50.0,0.7,3.3,20.0
46,Brook Lopez,MIL,35,9.4,15.9,59.2,3.2,7.6,42.2,3.5,7.3,47.9,2.4,5.9,40.0,2.4,7.1,33.2,5.3,14.9,35.4
47,Bruce Brown,DEN,26,11.6,17.3,66.9,2.5,6.6,38.1,1.6,3.8,41.9,1.4,3.2,45.6,2.7,7.8,34.7,4.4,12.2,35.8
48,Bruno Fernando,ATL,24,3.3,5.2,62.9,0.8,2.4,32.6,0.8,1.8,44.6,0.6,1.4,43.2,1.1,2.6,41.2,2.1,5.9,36.2
49,Bryce McGowens,CHA,20,6.9,12.2,56.6,1.9,4.3,44.9,1.1,2.4,45.7,0.9,1.8,46.8,2.0,4.2,46.9,3.0,8.4,35.9
50,Bryn Forbes,MIN,29,4.4,7.2,61.5,0.8,1.8,44.4,0.7,1.3,50.0,0.4,1.0,40.0,1.4,4.0,35.4,1.9,4.7,40.7
51,Buddy Boeheim,DET,23,3.6,4.4,80.0,0.8,2.0,37.5,0.4,1.1,37.5,0.5,1.3,37.5,0.6,2.3,23.8,1.2,4.6,26.8
52,Buddy Hield,IND,30,13.1,21.5,60.9,2.9,6.2,47.0,2.3,4.9,45.8,1.4,3.3,42.5,3.4,8.4,40.2,4.8,13.3,35.9
53,CJ McCollum,NOP,31,14.3,20.7,69.1,3.3,7.4,44.0,1.9,4.6,41.1,1.6,3.7,42.5,3.7,9.9,37.9,5.4,16.8,31.9
54,Cade Cunningham,DET,21,16.0,24.6,65.1,3.3,6.8,47.6,2.3,5.9,39.4,1.8,3.2,57.9,2.6,8.5,30.4,5.6,14.8,37.6
55,Caleb Houstan,ORL,20,6.4,9.1,69.5,1.3,2.7,46.2,1.2,2.5,46.8,0.7,1.6,43.7,1.7,4.4,38.3,2.5,7.5,33.2
56,Caleb Martin,MIA,27,10.0,14.7,68.0,3.4,6.7,51.0,2.1,4.4,47.2,1.1,2.9,40.0,3.2,8.3,39.1,4.6,13.5,33.8
57,Cam Reddish,POR,23,11.0,16.9,65.2,1.7,4.6,37.4,1.8,3.4,51.1,0.9,2.2,40.4,2.9,7.2,40.4,4.0,11.1,35.7
58,Cam Thomas,BKN,21,6.6,10.6,62.6,1.5,3.4,43.8,1.0,2.6,40.0,0.6,1.5,36.6,2.2,5.2,42.1,2.2,6.7,33.5
59,Cameron Johnson,BKN,27,11.1,18.5,59.8,2.7,6.8,39.3,2.2,5.0,45.0,1.1,3.0,37.8,3.3,8.8,37.7,3.5,10.2,34.3
60,Cameron Payne,PHX,28,8.0,12.4,64.2,2.1,4.7,44.9,1.4,2.9,47.8,0.8,2.3,35.8,1.8,4.5,39.1,2.9,8.4,34.7
61,Caris LeVert,CLE,28,11.2,18.3,61.4,2.7,6.4,42.4,1.9,4.8,39.9,1.3,3.0,43.4,2.9,7.4,38.9,4.2,11.7,35.5
62,Carlik Jones,CHI,25,2.2,3.8,57.9,1.0,2.0,50.0,0.6,1.0,60.0,0.5,1.0,50.0,1.7,5.3,31.3,1.7,4.5,37.0
63,Cedi Osman,CLE,28,7.6,12.1,62.5,1.7,4.4,38.6,1.4,3.3,43.0,0.8,2.1,39.2,1.7,4.4,38.2,2.8,7.9,34.9
64,Charles Bassey,SAS,22,6.4,10.2,62.8,1.3,2.5,50.6,0.8,1.8,41.9,0.7,1.6,44.0,1.5,4.1,36.2,2.4,6.7,35.7
65,Chima Moneke,SAC,27,1.5,1.5,100.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,33.3,2.0,5.0,40.0
66,Chimezie Metu,SAC,26,4.3,7.0,62.1,1.1,2.3,46.6,0.5,1.3,42.1,0.5,1.5,35.2,1.3,3.3,40.6,1.4,4.5,31.5
67,Chris Boucher,TOR,30,7.4,11.6,64.0,1.8,3.9,45.5,1.3,2.5,51.8,0.8,1.8,42.6,2.0,5.4,37.8,3.1,8.3,37.8
68,Chris Duarte,IND,25,8.6,13.5,64.1,1.6,3.7,42.9,1.2,3.0,39.3,0.9,2.3,40.0,2.0,5.2,39.0,3.3,8.5,38.9
69,Chris Paul,PHX,37,11.2,17.7,63.1,2.7,7.4,36.6,2.3,5.1,45.5,1.7,3.8,44.2,3.4,8.4,41.2,4.8,14.1,34.4
70,Chris Silva,DAL,26,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
71,Christian Braun,DEN,21,6.5,9.6,67.7,1.7,4.0,41.3,0.9,2.0,46.9,0.7,1.8,39.2,1.5,4.5,33.0,2.1,6.5,32.8
72,Christian Koloko,TOR,22,4.3,7.4,57.8,1.1,2.5,42.7,1.0,2.0,48.6,0.7,1.3,50.7,1.6,4.1,38.6,1.7,5.4,31.9
73,Christian Wood,DAL,27,10.0,15.8,63.2,2.4,5.5,43.7,1.9,3.8,48.8,1.5,3.1,47.4,3.3,7.9,41.6,3.4,9.8,34.2
74,Chuma Okeke,ORL,24,8.5,12.7,67.0,1.4,3.2,43.2,1.0,2.5,42.4,0.8,1.6,48.7,2.2,5.5,39.4,3.0,9.7,31.2
75,Clint Capela,ATL,28,11.6,18.2,63.9,2.4,5.3,45.8,2.6,5.3,49.4,1.5,3.1,48.5,2.9,7.8,36.7,4.0,10.4,38.7
76,Coby White,CHI,23,8.8,13.8,63.8,1.7,4.1,42.5,1.2,2.9,40.5,0.9,2.2,42.6,2.6,7.5,34.7,4.2,11.6,36.2
77,Cody Martin,CHA,27,9.5,14.8,64.0,1.3,3.5,38.1,1.1,2.3,50.0,1.3,2.3,57.1,2.3,5.0,45.7,3.0,10.4,28.8
78,Cody Zeller,MIA,30,5.1,7.7,65.7,2.0,3.7,53.8,1.9,3.1,62.5,0.8,1.9,40.0,1.4,3.4,41.7,2.3,6.1,37.6
79,Cole Anthony,ORL,22,9.3,13.4,69.2,1.8,4.7,39.0,1.9,4.2,44.9,1.3,3.0,41.8,3.1,8.0,38.7,4.1,12.7,32.6
80,Cole Swider,LAL,23,2.8,4.6,60.9,0.4,1.2,33.3,0.8,1.3,60.0,0.8,1.0,80.0,1.0,2.0,50.0,1.5,4.0,37.5
81,Collin Sexton,UTA,24,10.1,16.2,62.5,2.9,6.3,45.4,1.5,3.3,46.5,1.2,2.6,44.1,2.7,6.8,39.3,3.5,9.9,35.7
82,Corey Kispert,WAS,24,11.7,17.7,66.0,3.2,7.5,43.1,2.1,4.7,44.5,1.4,3.8,37.6,2.4,6.6,36.7,4.8,12.8,37.6
83,Cory Joseph,DET,31,8.1,12.1,67.2,2.0,4.7,42.9,1.1,2.6,43.6,0.8,2.2,38.2,1.9,4.8,39.3,2.8,8.0,34.6
84,D'Angelo Russell,LAL,27,13.0,20.6,63.0,2.7,6.4,42.1,2.3,5.2,43.6,1.5,3.7,40.2,3.9,10.3,37.6,4.9,13.7,35.6
85,Daishen Nix,HOU,21,6.5,9.2,70.7,1.3,3.1,44.0,1.1,2.2,48.8,0.8,1.6,47.0,1.5,4.4,34.6,3.1,8.1,37.7
86,Dalano Banton,TOR,23,3.5,5.5,63.6,0.5,1.1,47.1,0.5,1.0,48.3,0.3,0.7,41.2,1.0,2.5,40.6,1.4,4.5,32.1
87,Dalen Terry,CHI,20,2.1,3.3,63.0,0.4,1.2,36.7,0.2,0.9,27.3,0.3,0.7,37.5,0.9,2.1,40.3,1.0,2.9,35.7
88,Damian Jones,UTA,27,5.4,8.3,64.7,1.1,2.9,36.8,1.0,2.1,50.0,0.6,1.5,38.8,1.5,4.4,34.5,2.0,5.8,34.3
89,Damian Lillard,POR,32,16.8,25.9,64.6,2.9,6.4,45.2,2.2,5.0,44.4,1.7,4.1,40.9,3.4,9.3,36.9,5.4,15.0,36.4
90,Damion Lee,PHX,30,7.6,12.0,63.3,1.7,4.3,40.7,1.3,3.0,44.4,0.8,2.3,34.6,1.9,4.8,39.7,2.8,8.3,33.7
91,Daniel Gafford,WAS,24,7.8,12.3,63.1,2.2,5.5,40.1,1.6,3.5,45.8,1.2,2.9,40.6,1.6,4.7,33.5,4.0,10.1,39.3
92,Daniel Theis,IND,31,6.9,10.3,66.7,1.4,3.0,47.6,0.9,2.0,42.9,0.6,1.6,36.4,1.6,4.0,39.3,2.9,7.1,40.0
93,Danny Green,CLE,35,3.7,5.6,66.1,0.8,2.8,28.6,0.9,2.2,40.0,0.6,0.9,62.5,1.6,3.0,53.3,1.5,5.5,27.3
94,Danuel House Jr.,PHI,29,6.1,9.0,68.0,1.1,2.6,42.1,1.1,2.1,50.0,0.8,2.0,41.3,1.4,3.7,38.6,2.3,7.1,33.0
95,Dario Saric,OKC,28,5.1,7.4,68.5,1.7,3.6,45.7,0.7,1.9,37.6,0.7,1.7,40.7,1.7,4.3,39.8,2.3,6.3,36.2
96,Darius Bazley,PHX,22,5.5,9.5,57.8,1.4,3.0,46.3,0.8,1.8,44.6,0.6,1.2,47.7,1.7,4.8,35.8,2.2,6.1,35.7
97,Darius Days,HOU,23,1.8,3.0,58.3,1.5,2.0,75.0,0.3,0.3,100.0,0.3,0.5,50.0,0.3,0.8,33.3,1.3,4.0,31.3
98,Darius Garland,CLE,23,12.4,20.5,60.8,3.2,7.3,43.3,2.5,5.8,43.0,1.7,3.6,47.2,3.8,8.9,43.0,4.8,13.9,34.1
99,David Duke Jr.,BKN,23,2.9,4.8,60.0,0.8,1.5,50.0,0.4,1.2,31.8,0.3,1.2,21.7,1.3,2.7,47.2,1.5,4.4,33.3
100,David Roddy,MEM,22,7.2,11.7,61.4,1.4,3.1,46.2,0.9,2.3,38.7,0.9,1.9,49.2,2.3,5.5,40.8,3.0,8.8,33.8
101,Davion Mitchell,SAC,24,7.4,11.2,66.4,2.0,4.0,49.2,1.2,2.7,42.9,1.0,2.1,45.0,1.9,5.0,37.3,2.6,7.5,34.5
102,Davis Bertans,DAL,30,3.7,6.0,61.3,1.2,2.2,52.7,0.9,1.7,52.0,0.6,1.3,47.1,1.2,3.4,34.7,1.5,4.2,35.4
103,Davon Reed,LAL,27,3.3,4.8,68.5,0.9,1.8,47.5,0.3,1.0,33.3,0.3,0.8,34.5,1.0,2.5,37.6,1.4,3.8,35.7
104,Day'Ron Sharpe,BKN,21,5.0,7.5,67.6,1.0,2.3,46.1,0.8,1.9,40.7,0.5,1.2,38.5,1.7,3.7,47.3,1.8,5.0,36.7
105,De'Aaron Fox,SAC,25,13.9,20.9,66.5,3.8,7.7,49.6,2.4,5.1,47.5,1.6,4.1,39.7,4.2,10.4,40.2,5.3,14.1,37.9
106,De'Andre Hunter,ATL,25,14.2,22.2,64.2,2.8,6.1,45.5,2.6,5.5,46.8,1.7,3.6,47.9,3.4,9.3,36.2,4.7,13.0,35.8
107,De'Anthony Melton,PHI,24,10.5,16.3,64.6,2.6,5.7,45.9,1.7,4.1,41.7,1.7,3.9,43.5,2.5,6.6,37.1,4.5,12.7,35.3
108,DeAndre Jordan,DEN,34,6.2,8.8,70.1,1.4,3.6,38.6,0.9,2.0,43.8,0.9,1.9,47.8,1.9,4.8,39.2,2.2,6.3,34.4
109,DeMar DeRozan,CHI,33,14.0,21.7,64.6,2.6,6.3,40.6,2.0,4.3,46.8,1.6,3.6,44.5,4.1,11.2,36.7,5.9,16.5,35.8
110,Dean Wade,CLE,26,7.4,12.5,59.6,1.8,4.8,37.6,1.5,3.4,42.7,0.9,2.2,38.9,1.7,4.7,35.8,2.5,7.1,34.9
111,Deandre Ayton,PHX,24,11.4,17.2,66.3,2.6,6.7,38.5,2.4,4.8,48.8,1.7,3.9,43.3,3.3,8.2,40.3,4.4,13.0,34.2
112,Dejounte Murray,ATL,26,16.8,25.5,65.8,2.8,6.4,43.1,2.8,6.1,46.6,2.0,4.2,48.4,3.9,10.5,37.3,5.1,14.6,35.2
113,Delon Wright,WAS,30,10.0,14.9,66.8,2.2,6.1,36.6,1.9,3.9,47.2,1.1,3.1,36.3,1.8,5.6,33.1,4.1,11.2,36.1
114,Deni Avdija,WAS,22,10.6,16.3,65.0,2.8,6.9,40.3,1.8,4.2,42.1,1.4,3.7,37.7,2.3,6.2,36.8,4.6,12.4,37.5
115,Dennis Schroder,LAL,29,12.4,18.8,66.2,3.0,6.8,43.4,2.1,5.1,40.9,1.8,3.8,46.5,3.2,8.4,38.1,4.6,14.7,31.5
116,Dennis Smith Jr.,CHA,25,9.5,16.4,58.0,2.1,5.3,39.4,1.7,3.9,44.3,1.3,2.9,45.8,2.5,6.9,36.7,3.6,11.7,31.2
117,Deonte Burton,SAC,29,1.5,1.5,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,100,0.0,1.5,0.0
118,Dereon Seabron,NOP,22,0.6,1.0,60.0,0.0,0.3,0.0,0.5,1.0,50.0,0.5,0.5,100,0.3,1.0,25.0,0.5,3.0,16.7
119,Derrick Jones Jr.,CHI,26,6.4,9.7,66.8,1.1,2.6,40.7,0.6,1.8,35.5,0.3,1.3,26.0,1.4,4.0,34.8,2.0,6.7,30.6
120,Derrick Rose,NYK,34,5.0,7.8,64.0,1.1,2.8,40.3,0.9,2.4,36.5,0.5,1.4,34.2,1.1,3.6,29.6,2.4,6.3,37.9
121,Derrick White,BOS,28,10.0,15.7,63.5,3.0,7.4,40.8,2.3,5.2,45.0,2.0,4.2,47.0,2.6,6.9,37.4,4.4,13.5,32.8
122,Desmond Bane,MEM,24,11.9,19.9,59.7,2.6,6.5,39.5,2.1,4.9,41.9,1.4,3.4,40.4,3.4,9.1,38.0,5.3,15.4,34.2
123,Devin Booker,PHX,26,12.6,19.9,63.5,3.1,7.8,39.0,2.6,5.2,49.8,1.7,4.4,38.8,3.6,8.8,40.8,5.3,15.2,35.0
124,Devin Vassell,SAS,22,15.3,22.8,66.8,2.8,6.2,44.5,1.9,4.4,42.8,1.6,3.6,45.2,2.8,7.1,39.6,5.3,13.2,39.8
125,Devon Dotson,WAS,23,3.0,5.2,58.1,0.8,2.0,40.0,0.2,1.0,20.0,0.8,1.8,44.4,0.5,1.7,30.0,1.6,4.0,40.0
126,Devonte' Graham,SAS,28,7.5,10.8,69.6,1.6,3.5,44.6,1.1,2.3,47.9,0.8,1.9,41.2,2.2,5.2,41.8,2.7,8.4,32.8
127,Dewayne Dedmon,PHI,33,4.3,6.6,64.2,1.0,2.3,44.0,0.5,1.4,40.0,0.6,1.4,43.1,1.3,3.4,36.6,1.8,4.8,38.0
128,Dillon Brooks,MEM,27,10.8,18.2,59.3,2.4,6.0,40.0,1.9,4.7,40.9,1.3,3.1,41.8,3.4,9.2,37.1,5.1,14.5,35.3
129,Domantas Sabonis,SAC,26,14.2,21.3,66.4,4.0,8.1,49.1,2.7,5.7,47.6,1.8,4.1,45.1,3.9,9.9,39.6,5.3,14.3,37.3
130,Dominick Barlow,SAS,19,5.3,8.5,62.0,1.3,2.7,47.9,1.3,2.1,58.8,0.6,1.5,40.5,1.4,3.5,39.8,2.4,6.3,37.8
131,Donovan Mitchell,CLE,26,12.4,20.6,60.1,3.0,6.8,44.4,2.3,5.8,39.3,1.9,4.1,46.0,3.9,9.3,41.9,5.2,14.0,37.1
132,Donovan Williams,ATL,21,1.0,1.0,100.0,1.0,1.0,100,0.0,1.0,0.0,-,-,-,0.0,0.0,0.0,-,-,-
133,Donte DiVincenzo,GSW,26,9.0,14.1,63.7,3.9,8.2,47.4,1.8,4.0,45.9,1.2,2.7,43.8,2.7,7.1,37.6,4.4,12.5,35.3
134,Dorian Finney-Smith,BKN,29,11.6,18.4,62.9,3.2,6.8,46.5,2.3,5.2,43.6,1.4,3.3,41.3,3.8,9.0,41.7,3.6,10.4,34.7
135,Doug McDermott,SAS,31,9.2,14.3,64.3,2.0,4.6,44.6,1.3,3.2,41.5,1.3,2.4,53.7,2.0,4.9,40.2,3.5,9.5,36.7
136,Draymond Green,GSW,33,9.6,15.3,62.9,4.8,10.4,45.9,2.2,5.2,42.4,1.8,4.3,42.8,3.2,8.4,38.0,5.6,15.7,35.8
137,Drew Eubanks,POR,26,9.0,14.5,62.4,1.7,3.6,47.2,1.1,2.3,47.4,0.9,2.0,42.6,2.1,5.6,36.7,3.3,8.6,38.1
138,Dru Smith,BKN,25,3.1,4.5,67.8,1.1,2.1,51.9,0.7,2.0,36.4,0.4,1.5,26.3,1.2,2.8,43.6,1.8,6.0,30.6
139,Duane Washington Jr.,NYK,23,5.1,8.4,61.1,1.1,2.9,38.8,1.0,2.2,44.3,0.9,1.9,44.2,1.1,3.0,35.6,1.8,5.0,36.1
140,Duncan Robinson,MIA,28,5.6,8.4,67.1,1.6,3.0,52.0,0.8,2.4,35.5,0.7,1.6,45.9,2.1,4.8,42.9,2.6,7.3,35.9
141,Dwight Powell,DAL,31,7.4,10.9,68.1,1.8,4.1,43.8,1.8,3.7,47.5,1.1,2.3,45.3,2.2,5.7,37.8,2.3,6.9,33.8
142,Dylan Windler,CLE,26,0.7,1.3,50.0,0.3,0.7,50.0,0.5,0.5,100.0,0.0,0.0,0.0,0.3,1.0,33.3,0.3,1.0,33.3
143,Dyson Daniels,NOP,20,7.2,10.4,68.7,1.3,3.6,37.7,0.9,2.4,36.7,0.9,2.2,43.7,2.0,5.7,35.5,2.7,8.5,32.3
144,Edmond Sumner,BKN,27,5.8,9.2,62.6,1.0,2.9,34.0,0.8,2.1,36.7,0.5,1.5,32.4,1.5,3.9,39.2,2.2,5.8,37.7
145,Eric Gordon,LAC,34,11.6,17.3,66.9,2.5,6.1,41.1,1.9,4.4,44.2,1.4,3.4,41.2,2.8,7.9,35.5,5.5,14.2,38.8
146,Eugene Omoruyi,DET,26,6.0,9.2,64.9,1.8,3.6,50.7,0.9,2.0,43.6,0.6,1.5,40.4,1.8,4.8,36.3,2.4,6.8,34.8
147,Evan Fournier,NYK,30,6.8,9.9,68.5,1.2,2.9,39.5,1.1,2.8,38.6,0.7,1.8,38.3,2.0,5.4,37.6,2.8,8.2,34.1
148,Evan Mobley,CLE,21,11.7,19.6,59.6,3.0,7.1,42.1,2.4,5.7,41.7,1.6,3.7,44.4,3.8,8.9,43.0,5.1,13.9,36.9
149,Facundo Campazzo,DAL,32,2.3,3.4,66.7,1.0,2.9,35.0,0.2,0.8,25.0,0.6,1.2,50.0,0.4,1.4,30.0,1.2,3.0,40.0
150,Frank Jackson,UTA,24,2.0,3.0,66.7,3.0,4.0,75.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
151,Frank Kaminsky,HOU,30,3.1,4.3,73.5,0.6,1.4,43.9,0.3,0.9,34.8,0.3,0.6,50.0,0.7,1.9,36.5,1.2,3.2,36.8
152,Frank Ntilikina,DAL,24,4.8,7.6,62.9,1.0,2.5,39.5,1.0,2.1,48.8,0.7,1.7,39.7,1.5,3.8,38.2,1.6,5.0,32.6
