,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,0.5,0.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.5,0.5,83.3
1,AJ Green,MIL,23,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.1,33.3,0.2,0.3,50.0,0.5,1.1,42.9,0.9,2.1,42.6
2,AJ Griffin,ATL,19,0.7,1.1,62.3,0.5,0.9,52.5,0.7,1.2,54.1,0.2,0.5,44.4,0.6,1.6,40.5,0.7,2.0,35.9
3,Aaron Gordon,DEN,27,4.8,6.7,71.3,0.3,0.8,34.5,0.2,0.6,34.1,0.1,0.5,27.3,0.3,1.0,30.0,0.6,1.4,40.2
4,Aaron Holiday,ATL,26,0.6,1.1,52.5,0.1,0.4,21.7,0.2,0.5,36.0,0.1,0.2,45.5,0.2,0.6,42.4,0.4,0.9,41.2
5,Aaron Nesmith,IND,23,1.4,2.5,55.6,0.2,0.6,29.3,0.3,0.5,51.4,0.0,0.1,22.2,0.9,2.4,36.4,0.7,2.0,35.5
6,Aaron Wiggins,OKC,24,1.7,2.8,61.8,0.2,0.6,35.0,0.0,0.1,40.0,0.0,0.0,0.0,0.3,1.0,31.3,0.4,0.7,50.0
7,Admiral Schofield,ORL,26,0.7,1.0,70.6,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,37.5,0.4,1.1,33.3
8,Al Horford,BOS,36,0.9,1.4,65.5,0.3,0.7,48.8,0.1,0.2,26.7,0.0,0.2,27.3,1.1,2.5,45.2,1.2,2.7,43.6
9,Alec Burks,DET,31,0.6,1.2,55.9,0.4,0.9,41.7,0.5,1.0,47.1,0.4,0.9,42.6,0.9,2.0,44.6,1.1,2.9,38.7
10,Aleksej Pokusevski,OKC,21,1.7,2.9,59.2,0.2,0.8,21.4,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.2,31.7,0.7,1.9,38.5
11,Alex Caruso,CHI,29,1.0,1.5,65.6,0.0,0.3,11.8,0.0,0.2,30.0,0.0,0.1,42.9,0.6,1.4,43.3,0.2,0.9,27.1
12,Alex Len,SAC,29,0.5,0.8,70.6,0.0,0.1,0.0,0.1,0.1,100,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,4.2,6.5,64.1,1.2,2.7,44.6,0.3,0.5,50.0,0.1,0.2,33.3,0.0,0.2,27.3,0.2,0.6,34.1
16,Amir Coffey,LAC,25,0.6,1.1,55.1,0.2,0.7,27.6,0.2,0.4,43.8,0.1,0.3,30.0,0.1,0.6,24.0,0.1,0.3,33.3
17,Andre Drummond,CHI,29,2.3,3.6,64.9,0.2,0.4,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,39,0.6,0.6,100.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.9,14.3
19,Andrew Nembhard,IND,23,1.2,1.9,65.7,0.5,1.1,45.5,0.4,1.2,35.2,0.2,0.6,37.2,0.5,1.4,36.3,0.8,2.2,35.8
20,Andrew Wiggins,GSW,28,2.4,3.4,69.3,1.0,2.3,42.4,0.4,0.9,37.1,0.5,1.2,40.0,0.8,2.2,37.3,1.7,4.2,41.6
