,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,0.5,0.8,55.6,0.1,0.1,100,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.8,25.0,0.1,1.0,12.5,0.5,0.6,75.0
1,AJ Green,MIL,23,0.1,0.2,60.0,0.1,0.1,100,0.1,0.4,36.4,0.1,0.4,14.3,0.3,0.5,60.0,0.3,0.7,41.2,1.0,2.3,43.2
2,AJ Griffin,ATL,19,0.7,0.9,70.7,1.0,1.9,51.7,0.5,1.0,48.3,0.3,0.7,43.5,0.1,0.4,28.6,0.4,1.1,38.8,1.0,2.6,37.7
3,Aaron Gordon,DEN,27,4.8,6.5,73.0,0.5,1.3,39.5,0.2,0.7,31.0,0.1,0.4,21.7,0.1,0.4,26.1,0.2,0.8,23.9,0.7,1.7,42.2
4,Aaron Holiday,ATL,26,0.5,0.9,56.3,0.3,0.9,28.3,0.2,0.4,40.0,0.1,0.2,42.9,0.0,0.2,12.5,0.1,0.3,26.7,0.5,1.1,45.0
5,Aaron Nesmith,IND,23,1.4,2.3,61.1,0.3,0.9,32.7,0.2,0.6,38.9,0.3,0.9,35.7,0.5,1.2,37.8,0.8,2.1,36.9,0.8,2.3,34.3
6,Aaron Wiggins,OKC,24,1.7,2.6,66.9,0.2,0.9,26.9,0.0,0.0,0.0,0.2,0.7,29.7,0.1,0.3,37.5,0.3,0.9,32.1,0.4,0.8,44.7
7,Admiral Schofield,ORL,25,0.7,1.0,71.0,0.1,0.2,57.1,0.0,0.0,0.0,0.2,0.5,36.4,0.2,0.3,50.0,0.3,0.7,42.1,0.4,1.2,31.6
8,Al Horford,BOS,36,0.8,1.3,63.9,0.5,1.0,51.8,0.1,0.3,23.5,0.3,0.9,40.4,0.7,1.2,56.1,1.0,2.0,49.6,1.3,2.9,42.7
9,Alec Burks,DET,31,0.5,0.9,58.3,0.7,1.7,41.9,0.7,1.7,43.7,0.3,0.6,40.6,0.3,0.5,59.1,0.5,1.1,48.1,1.4,3.6,39.1
10,Aleksej Pokusevski,OKC,21,1.7,2.9,60.0,0.4,1.2,31.6,0.1,0.5,21.4,0.3,0.7,42.9,0.1,0.4,30.0,0.4,1.0,38.7,0.8,2.3,37.1
11,Alex Caruso,CHI,29,1.0,1.4,68.7,0.1,0.5,14.8,0.1,0.2,42.9,0.2,0.5,46.2,0.2,0.7,30.8,0.4,1.1,36.9,0.4,1.1,34.3
12,Alex Len,SAC,29,0.2,0.3,60.0,0.1,0.1,50.0,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,3.6,5.4,66.5,1.8,4.0,46.0,0.2,0.4,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,34.1
16,Amir Coffey,LAC,25,0.5,0.9,57.1,0.4,1.1,37.0,0.2,0.5,31.8,0.1,0.4,18.2,0.1,0.3,30.0,0.1,0.6,23.8,0.1,0.4,31.3
17,Andre Drummond,CHI,29,2.2,3.3,66.3,0.2,0.7,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,39,0.6,0.6,100.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.9,14.3
19,Andrew Nembhard,IND,23,1.1,1.6,68.6,0.7,1.8,38.6,0.4,1.1,38.9,0.2,0.4,34.5,0.2,0.6,33.3,0.3,1.0,33.8,0.9,2.5,34.5
20,Andrew Wiggins,GSW,28,2.0,2.7,72.3,1.4,3.2,44.1,1.0,2.3,42.4,0.3,0.8,35.7,0.2,0.5,35.0,0.5,1.3,35.4,1.9,4.8,40.7
21,Anfernee Simons,POR,23,2.0,3.2,64.1,1.0,2.3,43.4,1.0,2.3,46.4,0.2,0.7,34.9,0.2,0.4,41.7,0.4,1.1,37.3,3.0,8.0,37.9
22,Anthony Davis,LAL,30,5.7,7.5,76.1,2.2,4.8,44.8,1.4,3.5,40.6,0.0,0.1,25.0,0.0,0.1,33.3,0.1,0.2,30.0,0.3,1.3,25.9
23,Anthony Edwards,MIN,21,4.2,6.6,63.7,1.0,2.6,36.4,1.1,2.9,37.6,0.2,0.4,44.8,0.1,0.2,41.2,0.3,0.6,43.5,2.4,6.6,36.7
