,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Washington,New York,16:30:00,+5.5,-5.5,+6.5,-6.5,+170,-250,+195,-225
1,Atlanta,Dallas,16:30:00,+3,-3,+2,-2,+155,-185,+113,-133
2,Indiana,Oklahoma City,17:00:00,+4.5,-4.5,+4,-4,+150,-213,+155,-175
3,Cleveland,Memphis,17:00:00,+6,-6,+7.5,-7.5,+190,-278,+250,-300
4,Miami,New Orleans,17:00:00,-3.5,+3.5,-2.5,+2.5,-116,-116,-140,+120
5,Charlotte,Houston,17:00:00,-3,+3,-2,+2,-161,+115,-135,+115
6,LA Clippers,Utah,18:00:00,+6.5,-6.5,+5.5,-5.5,+210,-256,+180,-210
7,Minnesota,Denver,19:00:00,+8,-8,+8,-8,+265,-400,+260,-310
