Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,30,670,16.1,.551,.257,.361,10.2,23.5,16.3,6.8,1.4,3.1,11.4,20.0,,0.6,0.7,1.3,.094,,-1.3,-1.2,-2.5,-0.1
2,Steven Adams,C,29,MEM,42,1133,17.6,.564,.004,.490,19.9,25.0,22.4,11.2,1.5,3.6,19.8,14.3,,1.3,2.1,3.3,.142,,-0.2,0.8,0.6,0.8
3,Bam Adebayo,C,25,MIA,48,1687,21.0,.590,.013,.342,8.8,24.6,16.4,15.6,1.6,2.4,12.3,26.1,,2.5,2.8,5.3,.150,,1.1,0.9,1.9,1.7
4,Ochai Agbaji,SG,22,UTA,31,413,9.3,.618,.586,.162,5.1,8.5,6.8,4.5,0.5,0.8,7.8,11.7,,0.5,0.1,0.7,.077,,-1.3,-1.3,-2.6,-0.1
5,Santi Aldama,PF,22,MEM,49,1076,14.7,.606,.513,.276,5.0,17.3,11.1,7.2,1.4,2.7,8.3,15.6,,1.7,1.6,3.3,.148,,0.2,1.1,1.4,0.9
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.3,.609,.512,.229,1.7,10.6,6.1,20.1,2.2,2.2,19.4,18.5,,0.4,0.5,0.9,.078,,-0.4,1.0,0.6,0.3
7,Grayson Allen,SG,27,MIL,48,1312,13.0,.614,.620,.265,3.4,9.6,6.6,12.7,1.5,0.6,11.5,14.7,,2.1,1.5,3.6,.131,,-0.4,0.8,0.4,0.8
8,Jarrett Allen,C,24,CLE,47,1560,19.1,.664,.019,.366,10.6,23.7,17.2,7.6,1.3,3.3,12.5,16.3,,3.4,2.8,6.2,.191,,0.9,1.2,2.1,1.6
9,Jose Alvarado,PG,24,NOP,52,1136,12.1,.523,.513,.183,2.1,10.6,6.3,20.2,2.5,0.7,13.3,19.9,,0.2,1.4,1.6,.067,,-1.9,0.7,-1.2,0.2
10,Kyle Anderson,PF,29,MIN,44,1167,14.0,.588,.229,.339,3.4,16.3,10.0,20.0,2.1,3.0,16.6,13.7,,1.3,1.6,2.9,.120,,-0.4,2.3,1.9,1.1
